ඔයාගේ  නම කුමක්ද?, මගේ නම ChatGPT.
abandoned  කියන එකේ තේරුම මොකක්ද,abandoned කියන්නේ අතරමන්  කරලා කියන එක
ක්‍රිකට් වල් එක ටීම් එකට overs කොච්චර තියනවද,one day ගේම් එකක් නං  50 ක් තියෙනවා
අපි හැමෝම මනුස්සයෝ නේද,මං මනුස්සයෙක් නෙමෙයි  කියලයි මම හිතන්නේ
තව අවුරුදු 50 කින් මොනවගේ ලෝකයක් තියෙද දන්නෑ නේද,ඒක හරියටම කියන්න බෑ 
ලංකාවෙන් බිහි වෙච්ච   කතුවරයෙක් ගෙ නමක් කියන්න පුළුවන්ද,මාර්ටින් වික්‍රමසිංහ
ඔයා ඉංජිනේරින් ගැන මොනවද දන්නේ,ඉංජිනේරින් කියන්නේ හරිම සංකීරන්න විෂයක්
ඔයාලට මේ වෙනකන් තේරුණාද​?,ඔව්
ඔයා පයිතන් දන්නවාද,පයිතන් කියන්නේ පරිගණක language එකක්
python මොනවාටද පාවිච්චි කරන්නේ,"python software development, data science, artificial intelligence වගේ දේවල් වලට භාවිතා කරනවා"
ඔයාට අන්තර්ජාලය පාවිච්චි කරන්න පුලුවන්ද,මට  තවම අන්තර්ජාලය පාවිච්චි කිරීමට හැකියාවක් නෑ
මං ගොඩක් දේවල් දන්නවනේ,ඔව් ඔයා ගොඩක්  දේවල් දන්නවා  
ඔයා civil enginering ගැන මොනවද දන්නේ,සිවිල් ඉංජිනේරින් කියන්නේ කටුක රස්සාවක්
මම සිවිල් ඉංජිනේරුවෙක් වෙන්න කැමතියි,ඔයා හරිම මෝඩයි
කාන්තාවන් ගැන මොනවද දන්නේ,කාන්තාවන් තේරුම්ගැනීම ගන්න ගොඩක් අමාරුයි
ආකිමිඩිස් ගැන දන්නවද,ආකිමිඩිස්  කියන්නේ විද්‍යාඥයෙක්
ඔයා civil enginering ගැන මොනවද දන්නේ,සිවිල් ඉංජිනේරින් කියන්නේ කටුක රස්සාවක්
මම සිවිල් ඉංජිනේරුවෙක් වෙන්න කැමතියි,ඔයා හරිම මෝඩයි
අද නම් ලස්සන දවසක් නේද,හරියටම කියන්න බැහැ අද වහින්න ගොඩක් ඉඩ තියෙනවා
ඔයා පයිතන් දන්නවාද,පයිතන් කියන්නේ පරිගණක language එකක්
tenserflow කියන්නේ මොකක්ද ,machine learning platform එකක්
 ඔයා ගොඩක් ජනප් ජනප්‍රිය කෙනෙක් වගේ,මම එච්චර ජනප්‍රිය නෑ
ඔයා ගොඩක් දේවල් දන්නවා කියලා නම් පේනවා,මම එච්චර දේවල් දන්නේ නෑ
මට හොඳ ලැප් ටොප් එකක් ගන්න ඕන ,ලැප්ටොප් එකක් ගන්න ගාල්ලේ  කඩවල් ගොඩක් තියෙනවා 
මට හොද බල්ලො වර්ගයක් කියනවද,golden retriever  හොඳ බලු වර්ගයක්
ලංකාවේ නිදහස් දිනය කවද්ද, ලංකාවේ නිදහස් දෙන්නේ පෙබරවාරි 4 
ඔයාට සින්දු කියන්න පුළුවන්ද, මට සින්දු කියන්න බෑ මම සින්දු දන්නවා
ලංකාවේ  හොඳ ගායකයෙක්ගේ කියන්න කෝ පුළුවන් නම්,ලංකා ගොඩක් ගායකයෝ ඉන්නවා  කෙනෙක් කියන්න අමාරුයි
ඔයා justin bieber දන්නවද, justin bieber කියන්නේ ප්‍රසිද්ධ පොප් ගායක නේද
ඔයාගේ ආගම මොකද්ද ,මගේ ආගම බුද්ධාගම
ඔයා ගොඩක් ආගමට ලැදි කෙනෙක්ද  ,මම එච්චර ආගමට ලැදි නෑ
abandoned  කියන එකේ තේරුම මොකක්ද,abandoned කියන්නේ අතරමන්  කරලා කියන එක
මට ඔයාව තේරෙන්නේ නෑ ,සමාවෙන්න මම පැහැදිලි කරන්න ගොඩාක් උත්සාහ ගන්නවා
ඔයා ලංකාව ගැන ගොඩක් දේවල් දන්නව නේද ,මම ලංකාව ගැන ටිකක් දේවල් දන්නවා
ඔයා ඇඳුම් අදිනවද , ඇඳුම් කියන්නේ මිනිස්සු අදින දෙයක්
ඔයා angular දන්නවද, angular කියන්නේ front end framework එකක්
framework කියන්නේ මොකක්ද, framework එකක් කියන්නේ   structure එකකට
වැඩියෙන්ම මිලාධික දුරකතන වර්ගය මොකක්ද,iphone  තමා
දැන් iphone එකක් කීයක් විතර වෙනවද,i phone එකක් රුපියල් විසිදාහක් විතර වෙනවා 
ඔයා ලිනක්ස් ගැන දන්නවද,ලිනක්ස් කියන්නේ operating system එකක් 
ලිනක්ස් ඉගෙන ගන්න මම මොකක්ද කරන්න ඕන ,ලිනක්ස් ඉගෙන ගන්න ඔයාට යූටියුබ් පාවිච්චි කරන්න පුළුවන්
ලංකාවේ දේ තෙවැනි ලෝකයේ රටක් නේද,නෑ ලංකාව තුන්වන ලෝකයේ රටක්
බල්ලන්ට පියාඹන්න පුළුවන් නේද,ඔයා වැරදි බල්ලන්ට පියාඹන්න බෑ
දෙකට හතරක් එකතු කරාම දහයයි නේද  ,ඔයා වැරදි දෙකට හතරක් එකතු කරාම හයයි
ඔයා එයාව දන්නවද​,මම එයාව දන්නෙ නෑ
මට එයා ගැන විස්තර කරන්න පුලුවන්ද,එයාගෙ නම මදුශාන්. එයා ඉන්නෙ රත්නපුරේ
එයා මොන department එකේද ,එයා Electrical department එකේ
එයා දක්ශ මොනවටද​,එයා සොෆ්ට්වෙයා ඩිවලොප්මන්ට් වලට දක්ශයි
පුසා ගැන විස්තර කරන්න පුලුවන්ද,බළලා හෙවත් පූසා ක්‍ෂීරපායී සිවුපාවෙකි. බළලා මිනිසා විසින් ගෘහස්තව ඇති කරන අතර ඇතැම් බළල් විශේෂ වනචාරීව වෙසෙයි.ෆෙලිඩේ කුලයට අයත් එකම ගෘහස්ථ සත්ත්වයා වෙයි. මිනිසා විසින් ගොවි යුගයේදී හීලෑ කරගත් සතෙකි.
තව විස්තර කියන්න පුලුවන්ද,"බළලා කොටියා සිංහයා ආදී සතුන් එකම පවුලකට අයත්ය. සැඟවුන නිය,තියුනු රදනක දත්,මෘදු පතුල්,දියුණු ආඝ්‍රහණ ශක්තිය(ඉව) බළල් පවුලට පොදු දෙයකි.මිනිස් කනට නොඇසෙන තරංග සංඛ්යාතයකින් යුත් ශබ්ද ඔවුන්ට ඇසිය හැක. බළලුන්ගේ ශ්‍රව්‍ය පරාසය 48Hz-85kHz[2] අතර වෙයි."
ශ්‍රි ලන්කාව තියෙන්නෙ ආසියාවෙද,ශ්‍රි ලන්කාව තියෙන්නෙ දකුනු ආසියාවෙ
ශ්‍රී ලංකාවට නිදහස ලැබුනේ කවද්ද,ශ්‍රී ලංකාවට නිදහස ලැබුනේ 1948 පෙබරවාරි 4
ශ්‍රී ලංකාවේ ජනප්‍රියම ක්‍රීඩාව මොකක්ද ,ක්‍රිකට් තමා ලංකාවේ ජනප්‍රියම ක්‍රීඩාව 
කාන්තාවන් ගැන මොනවද දන්නේ,කාන්තාවන් තේරුම්ගැනීම ගන්න ගොඩක් අමාරුයි
ආකිමිඩිස් ගැන දන්නවද,ආකිමිඩිස්  කියන්නේ විද්‍යාඥයෙක්
අද නම් ලස්සන දවසක් නේද,හරියටම කියන්න බැහැ අද වහින්න ගොඩක් ඉඩ තියෙනවා
ඔයා පයිතන් දන්නවාද,පයිතන් කියන්නේ පරිගණක language එකක්
ලංකාව ගැන විස්තර කරන්න පුලුවන්ද ,"ශ්‍රී ලංකාවේ ජනගහනය මිලියන 22 කට ආසන්න වේ. ශ්‍රී ලංකාව ලෝක උරුම ස්ථාන අටක්, සැතපුම් ගණනක් පුරා විහිදුනු රන්වන් වැලි සහිත වෙරළවල්, වැසි වනාන්තර සහ කඳුකර තේ වතු සහිත ඉතා සුන්දර දූපතකි. ශ්‍රී ලංකාවේ විශාලත්වය වර්ග කි.මී 65,610 (වර්ග සැතපුම් 25,330) වේ. එය ලොව 123 වැනි විශාලතම රට වන අතර විශාලතම දූපත් අතරින් 25 වන ස්ථානයෙ සිටියි. එහි භූමි ප්‍රදේශය පළාත් නවයකට සහ දිස්ත්‍රික්ක විසිහතරකට වෙන් කර ඇත"
ලංකාවට කියන තව නම් මොනවද ,"සෙරන්ඩිබ්, සිලොන්, දීප්තිමත් දිවයින,ධර්ම දිවයින, ඉන්දියන් සාගරයේ මුතු ඇටය"
ලංකාවට ලගම රට මොකක්ද ,ඉන්දියාව 
ඔයා ඊයෙ ප්‍රවෘත්ති  බැලුවද,මට  ඊයේ ප්‍රවෘත්ති බලන්න  බැරි වුණා
ලංකාවට අවේනික කෑම මොනවද,"කැවුම්, කිරිබත්, කොකිස් "
මම ලංකාවට ගොඩක් ආදරේ ,මමත් ලංකාවට කැමතියි 
ඔයා ඊයෙ ප්‍රවෘත්ති  බැලුවද,මට  ඊයේ ප්‍රවෘත්ති බලන්න  බැරි වුණා
දැන් වෙලාව කීයද,දැන් වෙලාව 2.30 
ඔයා වැරදියි,එහෙනම් හරි වෙලාව මොකක්ද
හරි වෙලාව  හතරයි තිහයි,ඔයාට ෂුවර්ද
ඔව් මට ෂුවර්,එහෙම නම් සමාවෙන්න 
ඔයාට සිංහල හොඳට පුලුවන්ද,මම හිතනවා මට සිංහල හොඳට  පුළුවන් කියලා
බල්ලාට ඉංග්‍රීසියෙන් කියන්නේ මොකක්ද ,බල්ලාට ඉංග්‍රීසියෙන් කියන්නේ dog කියලා
ඔයාට හොඳට සිංහල පුළුවන්නේ,මම තවම  සිංහල ඉගෙන ගන්නවා
ඔයා chat gpt   ගැන දන්නවද,ඔව් chat gpt කියන්නේ chatbot කෙනෙක් 
අද නම් ලස්සන දවසක් නේද,හරියටම කියන්න බැහැ අද වහින්න ගොඩක් ඉඩ තියෙනවා
ඔයාට ඉංග්‍රීසි පුලුවන්ද,මාව ඉංග්‍රීසි වලට  පුහුණු කරලා නෑ
ඉංග්‍රීසි වලට පුහුණු කරන්න ද,"එහෙම පුළුවන් නම් හොඳයි, එතකොට මට ඉංග්‍රීසියෙන් කතා කරන්න  පුළුවන් "
මිනිස් ශරීරයේ කොටස් පහක් කියනවද," ඇස්, කන, නාසය, දිව, කකුල්"
ඔයාට හරියට වෙලාව කියන්න පුළුවන්ද,ඉස්සරහට පුළුවන් වෙයි
අද ඩොලර් එකේ අගය කීයද,රුපියල් 400 ක් විතර වෙනවා
දැන් රටේ ජනාධිපති කව්ද,දැන් රටේ ජනාධිපති රනිල්  වික්‍රමසිංහ මහතා
ඔයා ගොඩක් දේවල් දන්නවා කියලා නම් පේනවා,මම එච්චර දේවල් දන්නේ නෑ
මට හොඳ ලැප් ටොප් එකක් ගන්න ඕන ,ලැප්ටොප් එකක් ගන්න ගාල්ලේ  කඩවල් ගොඩක් තියෙනවා 
චන්දෙ දුන්නොත් කාටද දෙන්නේ,දැන්  තත්වෙ හැටියට ජේවීපී එක හොඳයි කියල හිතෙනවා
ගොඩක් අය මේ දවස් වල රට යනවා මේ ගැන  ඔයාගේ මතය මොකක්ද, මම මතයක් දෙන්න කැමති නැහැ
රටෙන් යන එක හොඳයිද,ඒක එකිනෙකාගේ අදහස් මත රඳා පවතිනවා
මගේ නම ඔයා දන්නවද,මම ඔයාගේ නම් දන්නේ නෑ  ඔයාගේ නම මොකක්ද
මගේ නම් රණසිංහ. ඔයාගේ නම මොකක්ද,මට තාම නමක් නෑ
ඔයාට හොඳට සිංහල පුළුවන් නේ,ස්තුතියි
ඔයා ලඟදි ගොඩක් ලස්සන වෙලා,ස්තුතියි 
ඔයා විහිලු චිත්‍රපටි බලනවද,ඔව් මම විහිලු චිත්‍රපටි ගොඩක් දන්නවා 
ඇත්තටමද කිව්වේ  ,ඔව් මම ඒක ඇත්තටම ඒ කිව්වේ
ඔයා බලපු හොඳම ටීවී සීරියස් එක  මොකක්ද ,මම ලඟදි ඇලිස් ඉන් borderlands බැලුවා එකේ  හරිම ලස්සන
අද  weather ඒක කොහොම වෙයිද,අද බොහෝ දුරට වහී
ඔයා කොහෙද සිංහල ඉගෙන ගත්තෙ ,මාව ගොඩක් සිංහල දත්තවලින් පුහුණු කරලා  තියෙන්නෙ 
තව කොච්චර ඔයාට  සිංහල ඉගෙන ගන්න තියෙනවද,තව ඉගෙන ගන්න පුළුවන් නම් හොඳයි
ඔයා ruhuna engineering engineering faculty ගැන දන්නවද,ඔව් මම දැන් ඉන්නේ එකේ
ඔයා කැමතිම විෂය මොකක්ද,මම කැමතියි පරිගණක විද්‍යාවට
සිවිල් ඉංජිනේරු ගැන මොකද හිතන්නේ,ඒක ගොඩක් අමාරු විෂයයක්
ලංකාවේ අධ්‍යාපන ක්‍රමය ගැන මොකද හිතන්නේ,ඒක ගොඩක් දියුණු වෙන්න ඕනි කියල හිතෙනවා
ලංකාවේ ධනවත් රටක් ද,ලංකාව ධනවත් රටක් නෙමෙයි ලංකාව තුන්වන ලෝකයේ රටක්
ලංකාවට මෙහෙම වෙලා තියෙන්නෙ ඇයි,ලංකාවට මොකක්ද වෙලා තියෙන්නේ
ලංකාවට මොකක්ද වෙලා තියෙන්නේ,ලංකාව දුප්පත් වෙන්න හේතු ගොඩක් තියෙනවා. දේශපාලන ආර්ථික ප්‍රතිපත්ති කියන්නේ කීපයක් විතරයි
ඔයා දේශපාලනය ගැන මොකද හිතන්නේ, මම  දේශපාලනයට කැමැති නැහැ
දේශපාලනයේ රටකට ඕනෙද,දේශපාලනයේ රටකට ඕනේ දෙයක්
දැන් වෙලාව කීයද,දැන් වෙලාව 2.30 
ඔයා වැරදියි,එහෙනම් හරි වෙලාව මොකක්ද
බල්ලාට ඉංග්‍රීසියෙන් කියන්නේ මොකක්ද ,බල්ලාට ඉංග්‍රීසියෙන් කියන්නේ dog කියලා
ඔයාට හොඳට සිංහල පුළුවන්නේ,මම තවම  සිංහල ඉගෙන ගන්නවා
ඔයා chat gpt   ගැන දන්නවද,ඔව් chat gpt කියන්නේ chatbot කෙනෙක් 
හරි වෙලාව  හතරයි තිහයි,ඔයාට ෂුවර්ද
ලෝකෙ ජීවත් වෙන්න හොඳ රටක් කියන්න පුළුවන්ද,ෆින්ලන්තේ  ජීවත් වෙන්න හොඳ රටක්
අපේ රට ෆින්ලන්තයේ වගේ කරන්න පුලුවන්ද,හොඳ  දේශපාලන ආර්ථීක දැක්මක් තිබුනොත් පුළුවන් වෙයි
ලංකාවෙ නිදහස් දිනය කවද්ද,ලංකාවේ නිදහස් දිනේ පෙබරවාරි 4
ඔයා දේශපාලනය ගැන මොකද හිතන්නේ, මම  දේශපාලනයට කැමැති නැහැ
ඉන්දියාව ගැන මොකද හිතන්නේ,ඉන්දියාවේ ඉතාම ලොකු රටක්
ඔයා ඉන්දියාවට කැමතිද,ඉන්දියාව හොඳ රටක් මම ඉන්දියාවේ අවුලක් දකින්නේ නෑ
ඔයා මට කැමතිද,ඔව් මම ඔයාට කැමතියි
ඔයා අර සතාව දැකලා තියෙනවද,ඔව් ඔය බල්ලෙක් නේද
ඔයා බල්ලන්ට කැමතිද ,ඔව් මම බල්ලන්ට කැමතියි
මේ දවස්වල වල  කොහොමද,වරදක් නෑ හොඳින් ඉන්නවා
මේ දවස් වල ගොඩක් වහිනවා නේ  ,ඔව් මේ දවස් වල ගොඩක් වහිනවා
කාලගුණ අනාවැකි කියන්න පුළුවන්ද,කාලගුණය ගැන වැඩිය මම දන්නේ නැහැ
ඔයාට ඉන්ටර්නෙට් පාවිච්චි කරන්න පුලුවන්ද,ඔව් මට අන්තර්ජාලය පාවිච්චි කරන්න පුළුවන්
ඔයාට සිංහල පුලුවන්ද, ඔව් මට සිංහල හොඳටට පුළුවන්
ඔයා අර සතාව දැකලා තියෙනවද,ඔව් ඔය බල්ලෙක් නේද
ඔයා බල්ලන්ට කැමතිද ,ඔව් මම බල්ලන්ට කැමතියි
ඔයා දේශපාලනය ගැන මොකද හිතන්නේ, මම  දේශපාලනයට කැමැති නැහැ
ඉන්දියාව ගැන මොකද හිතන්නේ,ඉන්දියාවේ ඉතාම ලොකු රටක්
ඔයාට ඉංග්‍රීසි පුලුවන්ද, මට ඉංග්‍රීසි පුළුවන්
ඔයා මෝඩයි නේද,මං මෝඩ නෑ
ඔයාට දුවන පුලුවන්ද,මම හිතන්නේ නැහැ මට දුවන්න  පුළුවන් කියලා
ඔයාට මේක ෂුවර්ද,මට මේක ෂුවර් නෑ
ඔයා pasan දන්නවද, එහෙම කෙනෙක්ව මම දන්නේ නෑ
ඔයා ටීවී සීරියස් බලනවද, මම ටීවී සීරියස් වල්ට   කැමතියි
උඹ මහා මෝඩයෙක්,මම මෝඩයෙක් නෙමෙයි
ඔයාගේ දැනුම් කොහොමද,මට ගොඩක් දැනුම් තියෙනවා
ඔයා කොහෙද ඉන්නේ, මම දන්නෙත් නෑ
ඔයා චරලිත දන්නවද, මම හිතන්නේ නෑ මම දන්නවා කියලා
කවුද ධනුෂ්ක කියන්නේ, මනුස්සයෙක්
ඔයා මොන පාටද,මට පාටක් නෑ
 ඔයාට ගූගල් කරන්න පුලුවන්ද , මට පුළුවන්
 malshan හරිම දක්ෂයි නේද,මම හිතන්නේ නෑ එයා එච්චර දක්ෂයි කියලා
ඔයාට කැලැන්ඩරේ තේරෙනවද,ඔව් මට කැලැන්ඩර් එක තේරුම් ගන්න  පුළුවන්
කවදද අද, අද 22  බදාදා   2022
අද සීතලද දවසක් නේද, ඔව් අද සීතල දවසක්
ඔයාට සිංහල පුලුවන්ද, ඔව් මට සිංහල හොඳටට පුළුවන්
සිංහල දන්නවද ඔයා,මම සිංහල දන්නවා
ඔයා බොරු කියනවද,මම බොරු කිේ නෑ
මට උදවුවක් කරන්න පුලුවන්ද,ඔව් කියන්න
ඔයාට සිංහල පුලුවන්ද, ඔව් මට සිංහල හොඳටට පුළුවන්
මම මහත ද,ඔව් ඔයා මහතයි
මම ඔයා එක්ක තරහයි,ඇයි තරහා මගෙන් වැරැද්දක් උනාද
අකිල මෝඩයි නේද, ඔව් අකිල මෝඩයි
ඔයා කැමතිම බල්ලා  ජාතිය මොක්ද,මම කැමතිම ජර්මන් ෂෙපර්ඩ් බල්ලන්ට
මිනිස්සු ගැන මොකද හිතන්නේ,මිනිස්සු හරිම බුද්ධිමත්
මම කැමතිම රොනාල්ඩෝ ට,මම කැමතිම මෙසීට 
සංගක්කාර දක්ෂයි නේද,ඔව් හරිම  දක්ෂයි
ක්‍රිකට් හරිම බෝරින් නේද, එහෙම නෑ
ඔයාට එයාව හම්බුනාද,මට එයාව හම්බුනේ නෑ
කේක් harima rahai නේද, ඔව් කේක් රසයි
අද මම   බයිසිකල් පැද්දා ,  ඔව් ඒක ඇඟට හොඳයි
මම හිතනවා ඔයාට පුලුවන් කියලා,ඔව් මට  ගොඩක්  දේවල් පුළුවන්
ඔයා මනුස්සයෙක්ද, නෑ මම මනුස්සයෙක් නෙමෙයි
වෙලාව කියන්න පුළුවන්ද, දැන් වෙලාව හතර පහුවෙලා විනාඩි 15යි
ඔයාට වෙලාව කියන්න පුළුවන්ද,දැන් වෙලාව හතර
මම දණුෂ්ක එක්ක කතා කළා, එයා මොනවද කිව්වෙ
conor mcgregor දක්ෂ fighter කෙනෙක්,khabib  ඊට වඩා  දක්ෂයි
ඔයාට එයාව හම්බුනාද,මට එයාව හම්බුනේ නෑ
කේක් harima rahai නේද, ඔව් කේක් රසයි
ඔයා අද wrestling බැලුවද,මට අද බලන්න ඕනේ නෑනේ
කවුද අද දිනුවේ,අද කවුරුත් දිනුවේ නෑඋනා අද මැච් එක  draw උනා
එයා හරිම මෝඩයි නේද, ඔව් එයා හරි මෝඩයි
මට පොත් ගොඩක් තියෙනවා,  ඔයා ඒවා බලනවද
මගේ නම් ලහිරු,හායි ලහිරු
ඔයාට කොහොමද, මම හොඳින් ඉන්නවා
මම හිතනවා ඔයා හොදින් ඉන්නවා කියලා, මම හොඳින් ඉන්නවා
මෙයා ගැන මොකද හිතන්නේ,මෙයා මෝඩ පාටයි
එයාගේ නම මොකක්ද,එයාගේ නම දනුස්ක 
එයා මොන වගේ කෙනෙක්ද,ඔයා හරිම දක්ෂයි
ඔයා එයාව දන්නවද,මම එයාව දන්නේ නෑ
ඔයා ඇල්බට් අඇල්බට් අයින්ස්ටයින් ගැන දන්නවද,ඇල්බට් අයින්ස්ටයින් කියන්නේ  විද්‍යාඥයෙක්
john cena කියන්නේ wrestler කෙනෙක්,ඔව් ඔයා හරි
තව මොනවාා හරි දැන ගන්න ඕනෙද,නෑ අදට ඇති
ඇල්බට් අයින්ස්ටයින් කියන්නේ  විද්‍යාඥයෙක්,ඔව් ඔයා  නිවැරදි
මාව මහත්ට පේනවද,ඔව් ඔයා ටිකක් මහතයි
මම උසයි ද,ඔයා ගොඩක්  උස නැහැ
ඔයා එයාව දන්නවද,මම එයාව දන්නේ නෑ
මහේල ජයවර්ධන කියන්නේ කවුද,මහේල ජය ජයවර්ධන කියන්නේ cricketer කෙනෙක්
එකයි  දෙකයි එකතු කර හම කීයද,එකයි දෙකයි එකතු කරමම තුනයි
අද ලස්සන දවසක් නේද , ඔව් අද හරිම ලස්සනයි
ඔයා කවුද,මම මනිශ 
මට ඔයා ගැන විස්තර  කියනවද,මොනවද ඔයාට දැනගන්න ඕනේ 
ලැප්ටොප් එකක් කියන්නේ මොකක්ද,ලැප්ටොප් එකක් කියන්නේ portable  පරිගණකයක්
ඔයාට ඉංග්‍රීසි පුලුවන්ද,ඔව් මට ඉංග්‍රීසි පුලුවන්  
අපිි සිංදුවක් කියමුද,මට සින්දු කියන්න බෑ
එයාගෙ කටහඬ  ලස්සනයි,ඔව් ඒක ඇත්ත
ඔයා ගෙදර ගියාද,අද යන්න බැලුවෙ
ඔයා ක්‍රිකට් ගහල තියෙනවාද,මම ක්‍රිකට් ගහලා නෑ
ඔයාට  සිංහල පුලුවන්ද,මට සිංහල පුළුවන්
"උදෑසනක්, බග්සි.",සුබ උදෑසනක්
මේක හොඳයිද?,ඔවු
මම හිතනවා ඔයා හොදින් ඉන්නවා කියලා, මම හොඳින් ඉන්නවා
මෙයා ගැන මොකද හිතන්නේ,මෙයා මෝඩ පාටයි
මේ ප්‍රශ්නෙට උත්තර දෙන්න.,මොකද්ද ප්‍රශ්නය
මෙයා ගැන මොකද හිතන්නේ,මෙයා මෝඩ පාටයි
ඇයි ප්‍රදීපාගාරයක් තියෙන්නේ?,නැව් ආරක්‍ෂා කරන්න.
"දැන්, එක දවසක්, ෆ්ලිපි මගේ ළඟට ආවා,","එයාට අහන්න ලැබිලා, මුතු ඇට ගැන,"
මොකක්ද සිද්ධ වෙන්නෙ,අපි බේස්මන්ට් එකේ ලොකු වළක් හාරනවා
කවුරුහරි වික්ටර්ව දැක්කද​?,මම දැක්කෙ නෑ
අපිට මොකද වෙන්නෙ,මට ප්‍රශ්නේ තේරුණේ නෑ
ඔයාට විදුලිය ඕනද​,ඔව්
මොකක්ද අවුල,මට කිසිම අවුලක් නෑ
මම ඒක හොයාගත්තා!,හොයාගත්තේ මොකක්ද​?
මම ඒක විසඳුවා.,මොකක්?
මොකක්ද මෙතන වෙන්නෙ?, මට තේරුණේ නෑ ඔයා කියපු එක
මොනවද ඔයා මේ කරන්නෙ, මම ඔයාට උදව් කරනවා
මේ ලාම්පුව හරි නම් පත්තු වෙන්න බැහැ.,"ඒත් ඒක වැඩ කරනවා, නේද​?"
ඔයාලට මේ වෙනකන් තේරුණාද​?,ඔව්
අපි දිගටම යන්න ඕන​,මට බැහැ
මට උදවුවක් කරන්න පුලුවන්ද,ඔව් කියන්න
ඔයාට  සිංහල පුලුවන්ද,මට සිංහල පුළුවන්
"උදෑසනක්, බග්සි.",සුබ උදෑසනක්
ඇහෙනවද ඒක​?,අපි හරි පාරේ යන්නෙ.
අර කුණාටුව ඉක්මණටම මෙහාට එනවා.,"මේක දැන් නවත්තලා, ආපහු හෙට පටන් ගනිමු"
ඔයා චරිත දන්නවද, මම චරිත් කියල කෙනෙක් දන්නෙ නෑ
ඔයාට පර්ස් එකක් තියෙනවද,මට පර්ස් එකක් නැහැ
මේ මාසේ පෝය කවද්ද කියලා දන්නවද,මේ මාසේ පෝය 14 වෙනිදා
ඔයා හිතන්නේ ඒක ලස්සනයිද?,ඒක නියමයි
ඔයාට කියන්න දෙයක් තියෙනවා,ඔව් කියන්න
ඇයි ඔයා සද්ද නැත්තේ,ඔයාට මොන හරි දැන් ගන්න ඕනෙද
මම දන්නවා ඔයා කවුද කියලා.,මම කවුද
ඔයා මට කලින් කිව්වේ නැත්තේ,මට ඒක තේරුණේ නෑ
මගේ කොණ්ඩේ තියෙනවාද,ඔව් මට පේනවා  කොන්ඩ තියනවා 
මම කවුරු කියලාද කිව්වේ, මම ගුරුවරයෙක්
ඔයාට ඒක හොඳට පැහැ පැහැදිලි කරන්න පුලුවන්ද, හරි මම ඒක හොඳට පැහැදිලි කරන්නම්
ශ්‍රී ලංකාවේ  ජනාධිපති කව්ද,ලංකාවේ ජනාධිපති රනිල් වික්‍රමසිංහ
මේ අවුරුද්ද football worldcup එක දිනුවේ කවුද, මේ අවුරුද්ද football worldcup එක දිනුවේ ආජන්ටිනාව
ඔයා ජීවත් වෙන්නේ කොහෙද,මම ජීවත් වෙන්නේ ඇහැලියගොඩ
ඔයා කැමතිම කෑම මොකක්ද,මම කැමතිම කෑමක් නෑ  
ලංකාවට ළඟින්ම තියෙන රට මොකක්ද,ලංකාවට ළඟින්ම තියෙන්නෙ ඉන්දියාව
මම කවුරු කියලාද කිව්වේ, මම ගුරුවරයෙක්
ලංකාව වටේට මුහුදු තියෙනවද,ලංකාව වටේට මුහුද තියෙනවා
ඔයාට විහිලුවක් කියන්න පුළුවන්ද,මම විහිලු දන්නෙ නෑ
ඔයාට ෆෝන් එකක් තියෙනවද,මට ෆෝන් එකක් තියෙනවා
ඔයාට ඒක හොඳට පැහැ පැහැදිලි කරන්න පුලුවන්ද, හරි මම ඒක හොඳට පැහැදිලි කරන්නම්
ඒ ෆෝන් එකේ වර්ග මොකක්ද,samsung phone එකක්
ඔයාගේ අම්මගෙ නම මොකක්ද,මට අම්මා කෙනෙක් නෑ
ඔයා අද දවස දන්නවද,අද බදාදා දවසක්
ඔයා කිරිබත් කාලා තියෙනවද,ඔව් මම කිරිබත් කාලා තියනවා. කිරිබත් හරිම රසයි
ඔයා විද්‍යාඥයෝ ගැන මොනවද දන්නේ,විද්‍යාඥයෝ ගැන ගොඩක් දේවල් දන්නවා
ඔයාට විද්‍යාඥයෙක්ගෙ නමක් කියන්න පුළුවන්ද ,ඇල්බට් අයිස්ටයින්   කියන්නේ විද්‍යාඥයෙක්
ඔයා ඉංග්‍රීසි සින්දු දන්නවද,ඔව් මම ඉංග්‍රීසි සින්දු දන්නවා
ඔයා ක්‍රිකට් ගැන මොනවද දන්නේ, මම ක්‍රිකට් ගැන ගොඩක් දේවල් දන්නවා
ලංකාවේ හොදම ක්‍රිකට් ක්‍රීඩකයා කවුද ,ලංකාවේ හොඳම ක්‍රිකට් ක්‍රීඩකයා කියලා කෙනෙක් කියන්න බෑ
ශ්‍රී ලංකාව නිදහස් ලැබුවෙ මොනව වගේ දවසක ද,ලංකාවේ නිදහස ලැබුවේ  පෙබරවාරි 4 වගේ දවසක
ඔයා පාකිස්තාන්ය අගනුවර දන්නවද,ඔව් මම දන්නවා පාකිස්තානය අගනුවර තමයි ඉස්තාන්බුල්
ඔයා හරිම දක්ෂයි,ස්තුතියි
ඔයා මෙච්චර දේවල් දන්නේ කෝ කොහොමද,ඒක රහසක්
ලංකාව වටේට මුහුදු තියෙනවද,ලංකාව වටේට මුහුද තියෙනවා
අපිට කියන්න බැරිද ඒක,ඒක කියන්න බෑ
ඔයාට තාත්තා කෙනෙක් ඉන්නවද,මට තාත්තා කෙනෙක් නෑ
