Question,Answer
මං ර්න්නම් පෝයෙන් පස්සේ.,හා එන්න
ඔයා මොනවද කන්න ගෙනාවේ අපිට.,කෑම 
මොනවද ඔයාලා බැලුවෙ ට්‍රිප් එක ගිහින්?,මුහුද 
ඒ ගමන කොහොමද?,ගොඩක් හොදයි 
කියන්නකෝ විස්තර ටිකක් ඒ ගැන.,හා කියන්නම්
එයා දැම්ම එන්නෙ නැද්ද?,එයි
මෙච්චර පරක්කු වෙලා ගිහින් වැඩක් තියෙනවද?,තියනවා 
කව්ද ඒ හිටිය මනුස්සයා?,දන්නේ නෑ
මොකටද මෙහෙට ආවේ?,දන්නේ නෑ
මොකද්ද මේ ඝෝශාව?,එක තමයී
ඉවරයක් නැද්ද මේ කෑගැහිල්ලේ.,නැහැ 
කවද්ද ඔයාට විභාගය ඉවර වෙන්නේ?,අනිද්දා
මොකද්ද මේ සින්දුවේ තේරුම?,දන්නේ නෑ
හරිම අර්ථාන්විත සිංදුවක්.,ඔව් ඇත්ත 
ඇයි අද පාසල් නොගියෙ?,අසනීපෙන් ඉන්නේ
ඇයි එයා තරහ උනේ?,දන්නේ නෑ
ඔයා ගෙදර අස් කලාද?,ඔව් කරා
මේ හැමදේම මටද?,ඔව් ඔයාට 
අද රෑට කව්ද උයන්නේ?,අම්මා 
චූටි නංගි උයන්න දක්ෂයි නේද?,ඔව් ගොඩක් 
"එයා අසනීපෙන් වගේව්,",ඔව් ඒ වගේ
"මේ යන්නෙ දැන් කඩේට,",ඔව් කඩේට 
කීයටද රෑට කන්නේ?,8ට විතර 
කීයටද පොලෙ යන්නෙ.,දවල් වෙලා
මොකේද යන්නෙ පොලට?,බස් එකේ
කා එක්කද යන්නෙ ඔයා?,තාත්තා එක්ක
"මොකද්ද ඕනි සබන් එක,",සුවද සබන්
උනු වතුර බොනවද? ,ඔව් බොනවා
ඇයි එයාට බැන්නේ?,දන්නේ නෑ
මට හොදටම නිදි මතයි.,මටත් 
කව්ද්ද අපි එහෙ යන්නේ?,ලබන සතියේ යමූ
ඉක්මනින් මෙහෙ එන්න,හරි එන්නම් 
පරිස්සමෙන් ගිහින් එනවා නේද?,හරී ගිහින් එන්නම්
මේ සිද්දිය මතකද ?,ඔව් මතකයි 
මගෙ වතුර බෝතලය කව්ද ගත්තේ?,දැක්කේ නෑ
ඇයි එයාලා රණ්ඩු උනේ?,හේතුව දන් නෑ
මොකද්ද මේකට දැන් කරන්නේ?,දන්නේ නෑ
ඔයාලා හොදින් නේද?,ඔව් හොදින්
එයා මෙතන ඉන්නවා?,ඔව් ඉන්නවා 
මිදුළ අතු ගාන්නේ කව්ද?,අම්මා 
රෑට කෑ ගහන්නෙ කව්ද?,කවුරුත් නැ
ඔයා දැන් ඔක්කොම මකන්න.,හා මකන්නම්
මේ වයලීනයෙ මිල කීයද?,ලක්ශයක් වෙනවා
වටලප්පං වලට ආසද?,ඔව් ආසයි 
ඇයි ඔයාගෙ බඩ රිදෙන්නේ?,දන්නේ නෑ
මේ කඩේ කෑම රසද?,රසයී
ඔයාට මං කියන දේ ඇහෙනවද?,ඇහෙනවා
ඇයි එ කඩෙන් ගත්තෙ නැත්තේ?,එකේ නෑ
මෙ අල්මාරියෙ කැටයම් ලස්සනයි නේද?,ගොඩක් ලස්සනයි 
ඇයි බල්ලා කලබල වෙලා තියෙන්නේ?,සර්පයෙක් ඇවිත් 
ඔයාගෙ පැවරුම මට දෙනවද?,හරී දෙන්නම්
ඔයාට රියදුරු බල පත්‍රයක් තියනවද?,තියනවා 
එයා ගුරුවරයෙක්ද?,ඔව්
ඔය වතුර එක මට දෙන්න.,හරි ගන්න
මේ අච්චාරු ටික ඔයා ගන්න.,හරි ස්තුති 
කෑම එක ගන්න දොර ගවට එන්න.,හරි එන්නම්
කෝච්චියේ සෙනග ගොඩයිද?,ටිකක් ඉන්නවා 
වහ බිව්වම මැරෙනවද?,ඔව් මැරෙනවා
මං දන්නවනෙ ඔයා ගැන.,එකනේ
කරපිංචා ඇගට ගුණද?,ඔව් ගොඩක් 
අද වැස්සට තෙමුන්ද?,හා
කුඩය දාලා ගියෙ ඇයි ඔයා?,අමතක වෙලා
බෑග් එක බස් එකෙ අමතක කරලා ආවද?,ඔව් අමතක වෙලා 
කොස් ගෙඩිය ඉදිලද?,ඔව් ටිකක්
ඔයා ඇයි එයාට කතා කරන්නේ.?,සල්ලි ඉල්ලගන්න 
මොකද්ද ඔය දෙන්නා අතරෙ තියෙන සම්බන්දය?,අපි යාලූවෝ 
ඔයා එයාගෙ කව්ද?,යාලුවෙක් 
ඔයාගෙ නැන්දම්මා එයාද?,ඔව් එයා
ඇයි මෙ බබා ඔයාට පුංචි කියන්නේ?,මම එයාගේ පුංචි 
මේ මනුස්සයා ඇයි කැගහන්නේ.,දන්නේ නෑ
මේවට උත්තර දෙන්නෙ කව්ද?,මම
රාමනායක නිදහස් වෙයිද?,කියන්න බෑ
ඔයාගෙ මුහුණු පොතේ මුරපද මට දෙනවද?,දෙන්න බැහැ 
ඔයා මෙයාට කැමතිද?,ඔව් කැමති 
දැන් ඇස් පේනවද?,ඔව් පේනවා
ඔයාට දැන් ඇවිදින්න පුලුවන්ද?,ඔව් පුළුවන් 
ඔයා මේවා කොහෙ හරි ලිව්වද?,ඔව් ලිව්වා
මේවා කොහෙන් හරි කාලා තියෙනවද?,තියනවා 
මීට කලින් මෙහෙ ඇවිත් තියෙනවද? ,තියනවා 
රෙදි ටික වැලෙන් ගත්තද?,ඔව් ගත්තා 
කාලෙකින් මෙහෙ ආවේ නේද?,ඔව් ගොඩ කාලෙකින් 
අනිද්දට අපි යමු නේද?,හරි යමූ
කැලණි පන්සල ලගයි නේද ඔයාට?,ඔව් ලගයි
ඔයාට මොකද උනේ?,මොකුත් නැ
මාව කැතට පේන්නෙ නෑ නේද?,නැ එහෙම නෑ 
ඔයා කාටද කතා කරන්නේ?,යලුවෙක්ට
ඔයාගෙ ප්‍රශ්නය මට කියනවද?,හරි කියන්නම්
ඔයාට පුලුවන්ද මට ඇහුම් කම් දෙන්න?,ඔව් පුළුවන් 
ඇයි ඔයා කතා කරන්නැත්තේ?,ඉන්න
ඔයාලට සිග්නල් නැද්ද?,ඔව් අඩුයි 
මේ කැලේ අලි ඉන්නවද?,ඔව් ඉන්නවා 
ඔයාලා වගා කරනවද?,ඔව් කරනවා 
මෙ විදියට හොදයි නේද?,ගොඩක් හොදයි 
ඔයාලා වගා කරන්නේ මොනවාද?,තක්කාලි 
දැන් මට ඉන්න දෙනවද?,හරී 
මං ඉන්නේ කොහෙද?,දන්නේ නෑ
මල් වවන්න ආසද?,ඔව් ආසයි 
එයා ඔයාට හිනා උනාද?,ඔව් හිනා උනා
දැන්ම ඔයා එනවද?,ඔව් එනවා
එයා තනිවෙලාද?,ඔව් තනිවෙලා
එයා වැඩ කරනවා ඇති නේද?,ඇතී
ඔයා හැමදාම වැඩට යනවද?,ඔව් යනවා
කවද්ද ඔයාට නිවාඩු,ඉරිදා නිවාඩු 
හෙට අපි කෝපි බොන්න යමුද,හා යමූ
ප්‍රදාන අමුත්තා කව්ද,මන්ත්‍රීවරයකු 
පංති නායකයා කව්ද?,මම
පංති නායිකාව කව්ද?,අරයා
මගෙ කොන්ඩෙ ලස්සනයිද?,ඔව් ලස්සනයි 
අද වැඩ නැද්ද?,අද නෑ
ලෙක්චර්ස් ගියාද?,ඔව් ගියා 
එ ලමයගෙ කට සැර වැඩි නේද?,ඔව් ගොඩක් 
එයා ලගදිම නවතී මෙහෙ එන එක.,මමත් හිතනවා
වහලට සෙවිලි කරලා තියෙන්නෙ මොනවද?,සීට්
ගෙදර මීයෝ ඉන්නවද?,ටිකක් ඉන්නවා 
ඇයි පුටුව කැඩුවේ?,හිතලා නෙවෙයි 
අම්මලා එන්නෙ කීයටද?,තව ටිකකින් එයි
එයාලා කොහෙද ඒ ගියේ?,ගමේ ගියා 
අම්මා දැන් මොනවා කරනවා ඇද්ද?,වැඩ ඇතී
කව්ද අද මගෙ පොත් අරන් යන්නේ?,මම අරන් යනවා
මට මෙහෙම උනේ ඇයි?,දන්නේ නෑ
ඇයි ඔයා වැටුනේ?,ලිස්සුවා
කව්ද ඒ මැරුණේ,පාරේ ගිය මනුස්සයෙක් 
මේ චිත්‍රය ඇන්දේ කව්ද?,අයියා 
මුහුදෙ මාලිගාවක් හවමුද?,හදමූ
මේ තාප්පේ කොන්ක්‍රීට්ද?,ඔව්
ආයෙ එන්නෙ නැද්ද?,එනවා
ආයෙ ඔයා තනි උනාද?,ඔව් ආයේමත් 
සම්බෝලයි බතුයි කමුද?,හා කමූ
එයා එනකන් බලන් ඉන්නවද?,ඔව් ඉන්නවා 
කාවද එ පොලිසියට අරන් ගියේ?,දැක්කේ නෑ
මොකද්ද මේ වෙන්නේ?,දන්නේ නෑ
මගෙ ඇදුමක් ගත්තද?,නැ ගත්තේ නැ
මේ කාගෙ පොත්ද?,මගේ නෙවෙයි
ඇයි ඔයා පරක්කු උනේ?,බස් නෑ
ඔයාට වෙලාවට එන්න බැරිද?,එන්න බැරි උනා
කජු පූලම් කන්න ආස නැද්ද?,ආසයි 
මේ වෙලාවෙ තේ එකක් තිබ්බනම් හොදයි නේද?,ඔව් හොදයි 
එයත් මේකට උත්සහ කරන්න ඇති නේද?,ඔව් අනිවාර්යයෙන් 
මේ කොටසෙ නොතේරෙන එකම දේ මේකද?,ඔව් ඕක
ඔයා ඉරිදා පංති ආවද?,ආවා
දැන් මට කතා කරනවද?,කරන්නම්
ඉර රස්නේ වැඩි නේද?,ඔව් ගොඩක් 
රතු රටකජු කනවද?,කනවා
අශ්වයා පිටේ ගිහින් තියෙනවද?,තියනවා 
මේ ලෝකේ ඉන්න නරකම කෙනා කව්ද?,දන්නේ නෑ
මං කියන දේ ඇහෙනවද?,ඇහෙනවා
ඔයා එයාට කතා කලාද?,කතා කලා
ඔයා අද නානවද?,ඔව් නානවා
මෙ ටිකක් නැගිටිනවද?,හා හරී
ඔයා සුද්ද කරාද?,ඔව් කරා
එයා ඔයාව දැක්කද?,ඔව් දැක්කා
ඔයා රැකියාවක් එකක් කරනවද,තවම නෑ 
ඔයාගෙ කකුළට මොකද උනේ?,තුවාල උනා
ඔයා ආස බීඔම මොනවද?,අඹ බීම
ඔයා තේ එකට සීනි ගොඩක් දාලා බොනවද?,නෑ ටිකයි
ඔයා වැඩක්ද?,පොඩි වැඩක්
ඔයා එනවද මගෙ එක්ක යන්න?,හරි එන්නම්
ඔයා කැමතිද මගෙ වෙන්න.,ඔව් අනිවාර්යයෙන් 
ඔයාට ඕනේ මොනවද?,කෑම 
ඔයා කන්න ආසම කෑම මොනවද?,කේක්
ඔයා යන්න ආසම තැන මොකද්ද?,නුවරඑළිය 
ඇයි ඔයා පුටුවෙන් නැගිට්ටේ?,යන්න
දැන් ඔයා කොහෙද යන්නේ?,ගමේ
ඔයා ඉන්නෙ කොහෙද?,ගෙදර 
නංගි කොහෙද ඉන්නේ?,ඉස්කෝලේ 
මෝඩයෙක් විදියට හැසිරෙන්න එපා.,හා හරී
මගෙ දුරකතනය ගත්තේ කව්ද?,දැක්කේ නෑ
ඔයාට දුරකතනයක් තියෙනවද?,තියනවා 
එයා තාම එන ගමන්ද?,ඔව් එනගමන්
ඇයි ඔයාගෙ අම්මා ඔයාට බැන්නේ?,පාඩම් වැඩ කරේ නැති නිසා
ඇයි ඔයාලා අනුන්ට මෙහෙම හිංසා කරන්නේ?,එහෙම කරේ නෑ
ඇයි ඔයා මගෙත් එක්ක තරහ?,තරහා නෑ
ඔයාට මෙ ගමන යන්න පුලුවන්ද?,ඔව් පුළුවන් 
මගෙ ලගින් ඉන්න පුලුවන්ද?,පුළුවන් 
මගෙ ගෙදරට මාව ඇරලන්න පුලුවන්ද?,පුළුවන් 
මට ඔයාගෙ දුරකථනය දෙන්න පුළුවන්ද?,ඔව් පුළුවන් 
ඔයා මෙ තැන දන්නවද?,දන්නවා 
ඔයා මට තෑගි දෙනවද?,ඔව් දෙනවා
ඇයි ඔයා මට තෑගි දෙන්නේ?,උපන්දිනේට 
මොනවද ඔයාට ඕනේ කරන්නේ?,මොකුත් නැ
මගෙ පිටපස්සෙන් එන්න.,හරි එන්නම්
මෙ කතාව කියෙව්වද?,ඔව් කියෙව්වා 
මෙයා ඔයාගෙ යාලුවෙක්ද?,ඔව් යාලුවෙක් 
ඔයාට මොනවද ඕනෙ මෙයාගෙන්?,මොකුත් නැ
ඔයා අයිති මට නේද?,ඔව් ඔයාට 
ඔයාගෙ අම්මලා මට කැමති වෙයිද?,ඔව් කැමති වෙයි
අපි මෙහෙ නතර වෙමුද?.,හා නතර වෙමු
මේ කාර් එක කාගෙද?,මගේ
ඔයා ලග මුදල් තියෙනවද අද කැමට?,ඔව් තියනවා 
මං ඔයාව බලන්න එන්නද?,හා එන්න
මේ සිද්දිය ගැන මොනවද ඔයා දන්නේ?,මොකුත් නැ
සතුටෙන් ඉන්නෙ කොහොමද?,හිනාවෙලා
ඔයා හිනා වෙද්දි ලස්සනයි.,ස්තුති 
ඔයාගෙ ඇස් හරිම ලස්සනයි.,ස්තුති 
ඔයා හරිම අවංක මනුස්සයෙක්.,ඔව් 
ඇත්තටම එයා දක්ශයි නේද?,ඔව් 
මගෙ කටහඩ ඇහෙනවද?,ඇහෙනවා
ඔයාට එක්සැම් වලට ළකුණු කොහොමද,ගොඩක් හොදයි 
ඇයි ඔයා මට බොරු කරන්නේ?,එහෙම කරේ නෑ
ඔයාට මාව විහිළුවක්ද?,නැ එහෙම නැ
මං අද ගෙදර එන්නම්.,හරි එන්න
වැව පිරිලද?,ඔව් පිරිලා 
ඔයා එයාව දැක්ක අවසාන වතාව මොකද්ද?,පන්තියේ දී
කවදද ආයෙ අපි හම්බ වෙන්නේ.,ලබන සතියේ 
මෙහෙ දූවිලි සැරයි නේද?,ඔව් සැරයි 
එයා පොත ඉල්ලුවද?,ඉල්ලුවා
ඔයා ගෙදර වැඩ කලාද?.,ඔව් කලා
එයාලා යාලුවොද?,ඔව් යාලූවෝ 
මගෙ කොන්ද රිදෙනවා.,බෙහෙත් ගමු
මං එයාව බලලා එන්නම්.,හා 
මං දැන් කෝල් එකක් ගන්නද?,හා ගන්න
එතන ආදායම කීයද?,10000යි
මං වත්ත පහලට යන්නද?,හා යන්න
මං වැවෙන් නාන්නද?,නාන්න
එලි හරිම නිස්කළංකයි නේද?,ඔව් ලස්සනයි 
ඔයා මෙයාගෙ කව්ද?,අක්කා
ඌ මෙල්ල කරන්න පුළුවන්ද?,පුළුවන් වෙයි
මේ කෝප්පය කාගෙද?,මගේ
මෙ බත් කොහෙන්ද?,ගෙදරින් 
ඇයි එතන මොකද උනේ?,දැක්කේ නැ
කව්ද එයාට ගැහුවේ?,මන් දන්නැ
ඇයි එයාගෙ කන් ඇහෙන්නෙ නැද්ද?,නෑ වගේ
ඔයා නැගිටින්නේ කීයටද?,6ට
ඔයා නිදා ගන්නේ කීයටද?,11ට
ඔයා අම්මා එක්කද එන්නේ?,ඔව් අම්මා එක්ක
ඔයාගෙ බර කීයද?,40යි
ඔයාගෙ උස කීයද?,අඩි 5යි
එයාව උස්සන්න ඔයාට පුළුවන්ද?,මට බැහැ
ඔයා සෙල්ලම් කරන්න එන්නෙ නැද්ද?,එන්නම්
ඇයි ඔයා නිදියන්නේ?,නිදිමතයී 
ඇයි මෙතන මේ තෙමිලා?,වැස්සට
මොනවද ඔයා කන්නේ?,රොටී 
ඇයි හැමෝම අඩන්නේ?,දන්නෙ නෑ
සදුදට මොකද කරන්නේ?,පන්ති යනවා
මොනවද හොරෙන් බලන්නේ?,මොකුත් නැ
කාගෙ ගෙදරටද හොරෙක් ආවේ?,එහා ගෙදරට
මොනවද එයාලා අරන් ගියේ?,සල්ලි 
කොහොමද මේක අදින්නේ?,මන් දන්නැ
ඇයි ඔයාට සින්දු කියන්න බැරි.?,මට බැහැ
ඔයාට ගිටාරයක් තියෙනවද?,ඔව් තියනවා 
කව්ද පාරෙ දැන් ගියේ?,නැන්දා
මේ පොත කියවලා බලන්න.,හරි කියවන්නම්
ඇයි ඔතන කට්ටිය එකතුවෙලා.,සාකච්ඡාවක්
ඔයාගෙ කාමරය මොකද්ද?,මේක 
ඔයාගේ කාමර අංකය කීයද?,65
ඔයා පුහුණු වීම් වලට ආවද?,ඔව් ආවා
ඔයා එයාට මොකද කලේ,මොකුත් නැ
ගාල්ල තියෙන්නෙ කොහෙද?,දකුණේ 
දෙහි තියෙනවද?,තියනවා 
ඉක්මනට සනීප වෙයි.,ඔව් අනිවාර්යයෙන් 
මට සමාවදෙනවද?,ඔව් දෙනවා
මේ අර්බුදය කා විසින් ඇති කරන ලද්දක්ද?,දන්නෙ නෑ
ඔයාට සහෝදර සහෝදරියන් ඉන්නවද?,ඉන්නවා 
ඔයාගෙ ගෙදර තියෙන්නෙ කොහෙද?,මාතලේ 
ඔයා එයාව ප්‍රතික්ශේප කරනවද?,ඔව් සමහර වෙලාවට 
කව්ද මේක කැඩුවේ?,දැක්කේ නැ
මෙතන තත්වය කොහොමද?,හොදයි 
මහජනතාව ඇයි අරගල කරන්නේ.?,ඉල්ලීම් දිනාගන්න
මේ රට හදන්නේ කව්ද?,විද්වතුන් 
ඉල්ලා අස්වීම හොදයිද?,ගොඩක් හොදයි 
මෙහෙන් කොහෙවත් යන්න එපා.,හරි යන් නැ
ඔයාගේ ඉංග්‍රීසි භාෂාව හැසරවීම හරිම ලස්සනයි.,ගොඩක් ස්තුති 
මගෙ හිත එයාට ගියා .,හොදයි 
කරුනාකරලා හොරකම් කරන්න එපා.,හරි කරන්නැ
කවදද අපි ජයග්‍රහණයක් ලබන්නේ.?,දන්නෙ නෑ
කවදද ආයෙ කොත්තු කන්නේ?,හෙට කමූ
ඔයාට මතකද අපි මෙතනට ආව පලවෙනි දවස?,ඔව් මතකයි 
එයා දන්නවද ඔයා මෙහෙ ඉන්න බව?,නැ දන් නැ
කව්ද දැන් බත් කෑවේ.,මන් කෑවා
ගෙදර කව්ද ඉන්නේ?,අම්මා
කව්ද අපිව වළක්වන්නේ?,කවුරුත් නෑ
මෙ පුවත ගැන දන්නවද?,ඔව් දන්නවා 
මං කැමති එක තීරණයක ඉන්න.,හරි
පංතියේ පලවෙනියා කව්ද?,මම
ඔයා බෙර ගහන්න දන්නවද?,දන්නවා 
ඔයා මෙතන ඉන්නේ ඇයි?,අම්මා එනකල්
කව්ද ඒ කතා කරන්නේ.,අයියා 
මොකද්ද ඒ පිච්චුනේ?,කොල ගොඩක් 
පේරාදෙනියට ගිහින් තියෙනවද?,ඔව් තියනවා 
කොච්චර කල් පරනද මේවා?,ටික කාලයයි
අද රෑට මේක ඉවර කරන්න ඕනි.,ඔව් කරමූ
හැමදේම විනාශ වෙලාද?,ඔව් ඔක්කොම 
ඔයාගෙ මතය මොකද්ද?,තාම හිතනවා
මෙ කූඹි කොහෙන්ද ආවේ?,දන්නේ නැ
ඔයා ලෑස්තිද මේක කරන්න?,ඔව් ලෑස්ති 
අපි ආහාර කල් තබා ගන්න වැඩ කරමු.,හා කරමූ
මං මේකට විරුද්ද වෙනවා.,මමත් 
මට උදව් කරන්න බැරිද?,නෑ කරන්නම්
සෝයා පැකට් එකක් කීයද?,100යි
මේ පිගාන කාගෙද?,මල්ලිගේ
ඔයාගෙ දුරකතනය කැඩුනද?,ඔව් කැඩුනා
ඔයාගෙ බැක් කවර් එක කීයද?,1500යි
ඔයාගෙ සෙරප්පු දෙක කැඩිලා නේද?,ඔව් හොදටම
ඔයා යමහා බයික් වලට කැමතිද?,ඔව් කැමති 
ඔයාට මේක මෙහෙයවන්න පුළුවන්ද?,ඔව් පුළුවන් 
බණ කියන්නෙ ලොකු ආමුදුරුවොද?,ඔව්
එයාගෙ ඇස් ලොකුයි නේද?,ඔව් ලොකුයි
රඹුටන් ගෙඩියක් කීයද?,15යි
වේදිකාවේ ඉඔන්නේ කව්ද?,නලුවා
රංගනයට එන්නෙ කව්ද?,නිලිය
මාධ්‍ය ස්වාධීන විය යුතුද?,අනිවාර්යයෙන් 
ඔයා බෝට්ටුවේ ගිහින් තියෙනවද?,ගිහින් තියනවා 
ඔයා මුහුදේ නාලා තියෙනවද?,නාලා තියනවා 
මං මල් පූජා කරලා එන්නද?,හා හරි
අපි  රැස්වීමට යනවද?,ඔව් යමූ
මේ වෙන දේට අපි ඉඩ දෙනවද?,කොහෙත්ම බෑ
කරුනාකර මට ඉඩ දෙනවද?,හරි දෙන්නම්
ඔහුට ගොඩක් අමාරුද?,ටිකක් අමාරුයි 
ඇයි ඉල්ලා අස් උනේ?,දන්නේ නැ
ගංවතුරට ගෙදර යට උනාද?,ඔව් යට උනා
ඔයා දෙළුම් ගහ ගවද ඉන්නේ?,ඔව් එතන
හංදියේ කඩේ දුරද?,ටික දුරයි
කව්ද මේ සිද්දියට ප්‍රධාන උනේ?,දන්නේ නැ
දැන් ඔයා ගෙදර යන්නෙ කොහොමද?,පයින් යන්නේ
ඇයි මෙහෙම අපිරිසිදු කරන්නේ?,හිතලා කලේ නෑ
ඇයි එයාව එලියට ගන්න බැරි.,ගන්න විදියක් නැ
කව්ද මෙතන වැටුනේ?,දැක්කේ නෑ
මං ඉන්නද ඔයා එක්ක?,හරි ඉන්න
ඇයි කවුරුත් කතා කරන්නැත්තේ?,දන්නේ නැ
කව්ද මේක කලේ?,දැක්කේ නෑ
කව්ද මෙතන ප්‍රධානියා?,මම
ඔයා ගාව පැනඩෝල් තියෙනවද?,තියනවා 
ඔයාට පුළුවන්ද මගෙ ඔලුව පීරන්න?,හරි පුළුවන් 
කව්ද මගෙ ඔලුවට ගැහුවේ.,මම නෙවෙයි 
ඇයි එයා ආවේ.?,පොත ගෙනියන්න
ඔයා එයාව අදුනනවද?,ඔව් දන්නවා 
එයා නිව්න්නුද?,ඔව් 
එයාගෙ අක්කා මොකද කරන්නේ?,කලමණාකාරිවරියක්
ඔයාට කෙනෙක් හම්බුනාද?,ඔව් හම්බුනා
අපි එකතුවෙලා වැඩ කරමුද?,ඔව් කරමු 
මට මේක ඉවර කරන්න උදව් කරනවද?,හරි ස්තුති 
අද අයියා ගෙදර එනවද?,ඔව් එනවා
ඔයා සිප්පි කටු ඇහිදලා තියෙනවද?,තියනවා 
මේ අර්බුදයට මොකද කරන්නේ?,විසදමූ 
ඇයි බයික් එක මග නතර උනේ?,තෙල් නැතුව
කව්ද ඔයාලා දෙන්නගෙන් පොලිසියෙ වැඩ කරන්නේ?,මම
ඔයා වැඩ කරන්නෙ බැංකුවකද?,ඔව් බැංකුවේ 
අපිට කවද්ද වේතනය ගිණුමට හර වෙන්නේ?,ලබන සතියේ 
ඇයි මගෙ ගිණුමෙන් සල්ලි ගන්න බැරි.?,බලන්නම් ඉන්න
අප්පච්චි මට ආදරෙයිද?,ආදරෙයි 
මෙතන ඉදන් පුස්තකාලෙට කොච්චර දුරද?,ටික දුරයි
මෙහෙ නැන සලක් තියෙනවද?,ඔව් තියනවා 
පල්ලියට යන්නෙ කවදද ඔයාලා?,සිකුරාදා යන්නේ
මටත් බුරුයානි ගේනවද?,ඔව් ගෙනාවා
ඔයාට සුබ අලුත් අවුරුද්දක් වේවා!,ඔයාටත් එසේම වේවා
ඔයාලා ගෙදර හදනවද මේ දවස් වල?,ඔව් හදන ගමන්
ඔයාලගෙ වගාව ඒම කොහොමද?,හොදට තියනවා 
ලිදේ වතුර තියෙනවද ඔයාලගෙ?,ඔව් තියනවා 
ඇයි ඔයා පහර දුන්නෙ?,මන් නෙවෙයි පහර දුන්නේ
මට ඔයාව පිළිකුල්!.,ඒක සාදාරන නෑ
මට කියන්න එනවද ඔයා?,ඔව් මන් එනවා
ඇයි මෙ දේ තේරෙන්නෙ නැත්තේ අපිව?,දන්නේ නැ
කවද්ද මෙයා නැගිටින්න පටන් ගත්තේ?,තාම දන්නේ නැහැ
බබා බත් කෑවද?,ඔව් කෑවා
නුවර යන්න එනවද?,හා එන්නම් යමූ
ඔයාට මානසික ලෙඩක් තියෙනවද?,නැහැ එහෙම එකක් නැහැ
මේ දවස් වල විපලවයක් තියෙනවද ලංකාවේ?,ඔව් ලොකු විප්ලවයක් 
ඔයාට ඉන්නවද පාතාල නායකයො,නැහැ මට නැ
ආර්තික අවපාතයට හේතු මොනවාද?,ඩොලර් හිග වීම
රටම එකට එකතු වෙනවද?,ඔව් එකතු වෙනවා
හැමදේම හොදින් අවසන් වෙයි නේද?,අනිවාර්යයෙන් හොදින් අවසන් වෙයි
අපිට අනාගතයක් තියෙයිද?,අනාගතයක් තියේවි 
මේ ගෙවෙන්නෙ අවසාන පැය කීපයද?,නැ එහෙම නැ
මං මැරෙයිද?,එහෙම දෙයක් සිද්ද වෙන් නැ
මොකද්ද ඔයාගෙ අරමුණ?,ඉදිරියටම යන එක
අපි හොද ගමනක් යමු?,අනිවාර්යයෙන් යමූ
දවසක අපි දෙන්නා දිනමු. ,අනිවාර්යයෙන් දිනමූ
හැමදාම මං ලග ඉන්නවා නේද?,ඔව් මන් ඉන්නවා 
"මං ආසයි මේ සිංදුවට, ඔයා ආස නැද්ද?",මමත් ගොඩක් ආසයි 
කව්ද දැන් නාන්නේ?,අම්මා නානවා
ඉවරද දැන් නාලා?,තවම නැ
මෙ වතුර ටික බොන්න දෙනවද මට?,හරි දෙන්නම්
ඇයි ඔයා ඔතන ඉන්නේ?,තාත්තා එනකල්
කව්ද නිතරම මෙහෙ එන මනුස්සයා?,තාත්තාගේ යාලුවෙක් 
කොහොමද අපි මේකෙන් වාසියක් ගන්නේ.?,ඉන්න මන් කියන්නම්
ඔයා කැමතිද කේක් වලට?,ඔව් ගොඩක් කැමති 
නෙස්ටමෝල්ට් වලට කැමති නැද්ද?,නැ මන් කැමති නැ
ඔයාට බැංකු ගිණුමක් තියෙනවද?,ඔව් තියනවා 
ඔයාගෙ අම්මා කව්ද?,මෙයා තමයි මගේ අම්මා
වෙරළු අච්චාරු කෑවද?,ඔව් මන් කෑවා
නෝට් එක ලියලා ඉවරද?,තවම නැ
ඔයාට ගුණන වගුව පාඩම්ද?,ඔව් මට පාඩම් 
මේ දුරකතන අංකය කාගෙද?,මන් දන්නේ නැ
මොකද්ද ඔයාගෙ සිම් කාඩ් එක?,ඩයලොග් සිම් එකක්
ඇයි එයා පීඩනයකින් ඉන්නේ?,පොඩි ප්‍රශ්නයක් නිසා
දැන් මොනවද ගණං අඩු?,මොකුත්ම නැ
කව්ද එයාට විරෝධය දැක්වූයේ?.,හැමදෙනාම 
මිනිස්සුන්ට තරහ ගිහින් නේද?.,ඔව් ගොඩක් 
මට තේරෙන්නැ මේ ජීවිතෙ ගැන?,මටත් තේරෙන් නැ
යන්නැද්ද ඔයා ගෙදර?,දැන් යන්න ඕනි
මගෙ කැමැත්ත ඔයා මෙතනින් යන එක දකින්නයි.,හරි මන් යන්නම්
කෝ වගාවට පොහොර?,තාම ලැබුන් නැ
කොරෝනා ඇවිත් කොච්චර කල්ද?,අවුරුද්දකට වැඩී දැන්
ඔයාලා සතුටෙන්ද ඉන්නේ?,ඔව් ගොඩක් 
මං එන්නද බලන්න ඔයාලව?,හා එන්න
හාල්මැස්සො කන්න ආසද?,ඔව් මන් ආසයි 
ටීවි එක පේනවද?,ඔව් පේනවා
රේඩියෝ එකෙ යන සිංදුව මොකද්ද?,හින්දි සිංදුවක් 
ඔයා අහන රේඩියෝ චැනල් එක මොකද්ද?,හිරු එෆ් එම් අහන්නේ
ඔයා බදින්න නැකත් බැලුවද?,තවම නැ
කවද්ද හරි දෙයක් වෙන්නේ.,දන්නේ නැ
කාවද අපි නායකත්වයට පත් කරන්නේ?,තාම හිතනවා ඒ ගැන 
