0,1
මට කලුපාට කුඩයක් දෙන්න පුලුවන්ද?,පුලුවන් 
ඔයා ඇයි රංඩු වෙන්නෙ?,එයා මට ගැහුවා
දළදා මාලිගාවට යමුද?,හා යමු
ඇයි නිතරම මට කෑ ගහන්නේ?,නිකන්
මට කියන්න දෙන්න බැරිද,බැහැ
ආසම දමිළ නළුවා කවුද?,සූර්යා
තව ගොඩක් වෙලා ඉන්න ඕනේද?,තව ටිකක් ඉන්න වෙයි.
දැන් මගෙ වාහනයට තෙල් නෑ?,නැහැ
ඇමතිවරුන්ගේ බඩ ලොකු ඇයි?,හොරාකන නිසා
මේ පාරේ වාහන යනවද?, වාහන ගොඩක් යනවා 
පෝධිය නෑව්වද?,තාම නැහැ
පිපිංඥා වලින් කොහොමද සලාද හදන්නේ?,පිපිංඥා කපලා හදන්නේ
මොනවද කරන්න තියෙන්නේ,උයන පිහින වැඩ
ඔයා පොඩි වෙනවද?,මම පොඩි වෙනවා.
පොලේ බඩු ගනන්ද?,ලොකුවට ගනන් නැ
කවදද එන්නේ?,ආයෙ එන්නෙ නෑ
මේ ඔයාගෙ කිරි කෝප්පෙ නේද? ,ඔව් ඇයි?
වේලන එලවලු හා පලතුරු දුඹුරු පාට වෙන්නේ ඇයි?,දන් නෑ
විදුලි බුබුල සොයාගත්තේ කවුද?,තෝමස් එඩිසන්
කාගේද අදහස?,මගේ යාලුවගේ
ඔයාගෙ කිරි එකනෙ,ඒකට කම්ක් නෑ.
ඔයා සුදු අරලිය වලට ආසයිද?,ඔව්. ගොඩක් ආසයි.
මොකක්ද සංවාදය?,මම දන්නෙ නෑ
ඔයා සැහැල්ලුවෙන්ද?,සැහැල්ලුවෙන් ඉන්නේ.
ඔයාගෙ වැඩ කටයුතු හොදින් කරගන්න පුලුවං උනාද?,පුලුවන් වුණා 
ඔයාගෙ පවුලේ කීයක් ඉන්නවද? ,4 දෙනෙක්
 බස් එක ගියාද?,ඔව් දැන් ගියේ
ඔයාව මුලින්ම පුදුම කලේ කවුද?,මගේ හොඳම යාලුවා
දැන් ඒ දෙන්න විතරක් නෙමෙයිද ගහගන්නේ,නැ එයාලගේ අලුත් යාළුවොත් පැති දෙකට බේදිලා ගහගන්න යන්නෙ
එයා නිතටම භාවනා කරනවද?,ඔව් භාවනා කරනවා
පාඩුවෙ ඉන්න බැරිද?,පුලුවන්
සීමා කරලද?,ඔව්
මුස්ලිම් මිනිස්සු රටේ හැමතැනම ඉන්නව නේද?,ඔව් 
සහතික දෙනවද?,හා දෙන්නම්
ඔයා උත්සවයට ගියේ කාත් එක්කද?,මම ගියේ අම්මත් එක්ක
ඔබේ නිහතමානී කම නිසාද?,ඒ මගේ හැටි.
ඔබ ඇයි මාව සෙව්වේ?,ඔබ පෙනෙන්න සිටිය නැති නිසා
රටෙන් යන එක හොඳයිද,ඒක එකිනෙකාගේ අදහස් මත රඳා පවතිනවා
යන්නම ඕනෙද?,ඔව් යන්න ඕනෙ
එයා දැන් ලග ලගම එනවා ඇති නේද,ඔව් ලග
ඔයාට කෑම හදන්න පුලුවන්ද?, මටනම් බෑ
ඔයාගෙ ආගම මොකද්ද?,බෞද්ධ
දේශපාලනයට කැමතිද? ,ඔව් කැමති
ඔයා ඒක දැක්කද?,ඔව්
ඇයි ඔයා හිනා වෙන්නෙ අයියෙ?,මට හිනා ගියා
ඩ්ජේ එකක් ගේනාවද,ඔව්
ඇයව මුණ ගැහෙන්න ඕනද?,මුණ ගැහෙන්න ඕන.
මට වැරදුනාද?,වැරදුනා
සතියේ ඔබ කැමතිම දිනය කුමක්ද,ඉරිදා
ඔයා ලග අත් ඔරලෝසුවක් තියනවද?,ඔව් තියනවා
හිර ගෙදරද එයා ඉන්නෙ?,ඔව් මං හිතන්නෙ
කෙල්ලෙක් හොයාගන්නෙ කොහොමද?,ගමෙන් හොයාගමු.
මට මේක කරන්න බෑ,පොරොන්දු කඩ කරන්න එපා
හිත රිදුනද?,නෑ
දැන් ඔබ යන්නේ කොහේද?,මගේ ගමන
ඔයාලගේ ගේදර ලිදක් තියෙනවද ?,දැන් නෑ
ඊයේ රෑ හයියෙන් වැස්සද?,ටිකක් වැස්සා
මෙහෙම කරමුද?, කොහොමද?
මොකද්ද එතන උනේ?,කියන්න බෑ
ඔබට මහන්සිද? ,ඔව් එකක් විතර
ඔහුට තියෙන්නෙ විකට රූපයක් නේද,මං දන්නැ
සෙංකොට්ටං ග්‍රන්ථය රචනා කරේ කවුද?,මහින්ද ප්‍රසාද් මස්ඉඹුල මහතා.
පැහැදිලි කරාද?,පැහැදිලි කරලා දෙන්නම්.
සුනාලිය කවද්ද ආවෙ,2004.12.26
බිල ගෙවන්න මතක් උනාද,ඔව්
මොන විදියේ ෆිල්ම් බලන්නද ආස?,ත්‍රාසජනක ඒවා බලන්න
සිටගෙන සිටියදී නිදා ගත හැක්කේ කුමන සත්වයාටද?,ගවයා.
ඔයාගෙ හම මොන පාටද?,දුඹුරු.
ඔයා සමාව දුන්නද? ,ඔව්
ඇනවුම් කිරීමට සූදානම්ද?,තව ටිකක් හිතන්න ඕනි
ඇයි පාර වහලා,පිකට් එකක්
 ඇයි ඒක දැන් නැද්ද, අනේ මන්දා තිබ්බ තැන්ක් හොයා ගන්න බැහැනේ
ඔයා කැමතිම විෂය මොකක්ද,මම කැමතියි පරිගණක විද්‍යාවට
ඔයාට මොකුත් පේන් නැද්ද?,නෑ
අපි ලස්සන හෙටක් හදමුද?,හොද අනාගතයක් හදමු
අද රෑට අක්කලා එනවද?,එනවා කිව්වා
කව්ද රටේ ජනාධිපති ,දැනට ගෝඨාභය රාජපක්ෂ 
මොකද්ද ඔය නාන විදිය?,මම මෙහෙම තමා නාන්නේ.
මොකක්ද ඇදගෙන යන්නේ,ගවුම අදින්නම්
දවස කොහොමද ?,ගොඩක් හොදයි 
මතකයිද ඒ දවස?,ඔව්
ඒකත් අදම කැඩුනද?,අදම කැඩුනා අනේ.
එහ්ට ලගා වීමට කොපමණ කාලයක් ගනීවිද?,ටික කාලයක්නම් ගතවේවි.
ඔයා බොඩිමකද ඉන්නේ?,ඔව් බෝඩිමෙ
ඈ කුලවත්ද?,ඔව්
පහට පාරට එනවද?,එන්නම්
ඔයා අන්තිමට ගියේ මොන සැලුන් එකටද?,හන්දියේ එකට
කෑවාම බඩගිනි එනවද?,බඩ පිරුණුත් එන්නේ  නෑ 
ඔබට ලමයින් සිටිනවාද?,දෙන්නෙක් ඉන්නවා
වැස්සි පැටව් දැම්මද,තාම නෑ
කිරි දාන්නද?,ටිකක් වැඩිපුර දාන්න.
අදුරගන්න පුලුවන්ද?,අදුරගන්න බෑ.
අලුත් ගොඩනැගිල්ලේ තට්ටු කීයක් තිබෙනවාද?,එහි තට්ටු දාහතක් තියෙනවා
ඇයි ආක්‍රමණය කරල  තියෙන්නෙ?,දන්නෙ නෑ
මේ ලොකේ ගස් කියක් විතර ඇතිද,ගොඩක් ඇති
දැන් ඔවුන්ගේ මිල කීයද?,පෙර ගානමයි
ඔයාලගෙ ආදරේට අවුරුදු කීයක්ද,දැන් 5යි
බිස්කට් වර්ග කන්න කැමතිද?,ඔව් මම කැමතියි
මිල අඩුම වර්ගය මොකද්ද,මේක තමා 
මොකක්ද හොඳම කාලෙ?,පාසල් කලෙ
කට කතා විස්වාස කරන්න පුරුදු වෙලා නේද?,ඔව්
මොකද කරන්නෙ?,මුකුත් නෑ
මෘදුකාංග සංවර්ධනය කරනවා දැකලා තියෙනවද ?,ඔව්
එයා ගමන් කරන්නෙ දෙපා ආදාරකයක් යොදා ගෙනද,ඔව් උනා
ප්‍රාථමික සංඛ්‍යාවක් යනු කුමක්ද?,තේරෙන්නෑ
නිදාගන හිටපු වෙලාවෙද?,"ඔව්,ඒ වෙලාවේ තමා."
පේපර් එකට ලකුණු කීයද?,50ක් තියෙනව
තාලෙට කවි කිව්වද?,ඔව්
ඔයා දන්නවද වෙලදපල ආරක්ෂාව ගැන,ඔව් දන්නවා 
උදෑසනද?,නෑ හවස
මොකෝ උඹේ සද්දෙ?,මගේ හැටි
කොයි තරම් උසද?,අඩි හයක්
ඔයා නෑවද?,ඔව් නෑවා
කොට්ටෙ පුලුන්ද?,ඔව්
වාහනයක් හම්බුනේ නැත්තම්,පයින් යනවා
බත් දෙනකොට බෙහෙත් කලවම් කරලා දෙමු නේද?,ඔව් එහෙම කරමු
ඔයා දන්නවද?,දන්නවා.
ඔබ ඔබගේ ආච්චිට සීයට ආදරෙයි ද? ,ඔව් 
ඇයට කොච්චර කාලයක් ගතවේවී ද මෙම තත්ත්වයට පැමිණෙන්න?,අවම වශයෙන් අවුරුද්දක් වත් ගත වේවි
මොකද එයාට ගැහුවේ,ඕනේ නැති වැඩක් කරපු නිසා
සත්තු මරණ එක පව් ,එයාලට කිව්වට වැඩක් නෑ 
පැයකට මිනිත්තු කීයද?,හැටක් තියනවා
පැයකින් හඩ ඇහෙයිද?,ඇහෙයි.
ඔයා කාටද කැමති?,අම්මට
ඇයි තවමත් ගෙවන්නේ,වාරිකයක් මඟ ඇරුනා
ඔබේ තරුණයාට ඔබ දෙන උපදෙස කුමක්ද?, කඩිසරව වැඩ කරන්න
මොකද්ද ඒ ගඳ,කාණුවෙන් එන්නෙ
අද කන්නේ මොනවද?,බත් කමු
අර වැල් පාලම පේනවද,ඔව් ඒක තොටිල්ලක් වගේ පැද්දෙනව
කෙසෙල් හොද වර්ගයක්ද?,හොද වර්ගයක්.
කවුද ඒ?,විශ්ව විද්‍යාලයෙ ළමයි
පාසල් යන ලමයි කරන වැඩද මේ ?,අපිට සමාවෙන්න
තාත්තා වැඩට ගියාද? ,ඔව්
ඔයා ටික් ටොක් බලන්න කැමති ද?,ඔව් 
දුරින් ඉන්නද?,හා
ඇත්තටම මිනිස්සු අහින්සකද?,නෑ හැමෝම ඒම නෑ
මොනවද මේකේ තියෙන්නේ,ඇරලා බලන්නකෝ
ඔයාගෙ කොන්ඩ කටුව කොහින්ද?,ගත්තා
කාගෙද මේ ගව්ම?,නංගිගෙ
කව්ද මුලින්ම ඔයාට ආදරෙයි කීවේ?,මම තවමත් ආදරෙ කරන කෙනේ
ඔයා ගේම් ගහන්න දන්නවද,නැ මං දන්නැ.
ලිප පත්තු කරන්නේ මොනවායින් ද,දර වලින්
ඒ බයිසිකලය හොඳයි නේද?,ඔහු ගොඩක් ලස්සනයි 
තිස් එක රෑ මොකද කරන්නේ,සාදයකට යනවා
දන්නවාද උත්තරේ,මොකද්ද
මං මැරුනොත් දරුවොන්ට මොකද වෙන්නෙ?,මම බලාගන්නව 
ඔබට තේ හෝ කෝපි කෝප්පයක් අවශ්‍යද? ,ඔව්
ඔයා මුද්දර එකතු කරලා තියෙනවද,ඔව් ඇත්තටම
ඔයාට ලස්සනට සින්දු කියන්න පුලුවන්ද ?,බෑ
ඇමරිකාවට ලංකාවේ ඉදන් පයින් යන්න පුලුවන්ද?,බැහැ
ඔබට තරහා නොගෙන සිටිය හැකිද?,තරහෙන් නෙවෙයි මම දුකෙන්
මං කරපු සතුරු කම මොකද්ද,මොකුත් නැ
වෙලාව බැලුවද?,ඔව් බැලුවා
ඔව්න් එ පොත කියවනවද?,ඔව්.
තාත්තා ඔයාට ආදරෙයිද?,ඔව් එයා මට හරි ආදරෙයි
ඔයා කාලා වතුර බිව්වද,ඔව්
ඔයාට ඒක දෙන්න පුලුවං කවද්ද?,අද හවසට දෙන්නම්
කට වහගන්නවද?,කට වහගන ඉන්න බෑ.
සුභ උපන් දිනයක්!,ස්තුතියි.
විස්ස පහෙන් ගුණ කරන්න,සීයයි
දවල්ට බෙහෙත් බීවව?,ඔව්
ඇදගෙන යාම අපහසු වූයේ ඇයි?,බර වැඩි නිසා.
මුහුද ජල චක්‍රයට උදව් කරනවාද? ,ඔව්.
එයා හදන්න පුලුවන් කෙනෙක් නෙවෙයිද?,එයා හදන්න බෑ.
ඔයා හොඳින් ඉන්නවාද ? ,ඔව් මං හොඳින්
කිරි බත් කමු ද,හා මම ආසයි
ඉර මොන පාටද,දන්නෑ.
ඔයාට ජල ක්‍රීඩා පුලුවන්ද?,ඔවු.
ලියන්නම ඕනෙද,ඔව්
පාටි එක දාන්නෙ කවද්ද?,කැමති දවසක්
ඇයි තිරුවානා ගල් සුදුපාට?,ඒ ගල් වල හැටිනේ 
වතුර රත් වෙනවද?,රත් වෙන්වා.
ඔබ සනීපෙන්ද?,ඔව් මට හිසරදයක් තියෙනවා
නින්ද ගියාද,හොඳට නින්ද ගියා
නිල් කටරොළු මල් මොන පාටද? ,නිල් පාට
පාසල් යන කාලේ කරපුව මතකද,ඔව් හොඳට මතකයි
විරාමයක් ගමුද?,හා එඒක හොඳයි
ඔයාගේ දුරකතනය ලස්සනයිද?,ඔව් ලස්සනයි
ඕස්ට්‍රේලියාවේ ජාතික සත්වයා කුමක්ද?, ඕස්ට්‍රේලියාවේ ජාතික සත්වයා කැන්ගරු ය.
තරු දිලිසෙනවද?,දිලිසෙනවා.
ඔබ සුදානම්ද ,ඔව් මම සුදානම්
ඔබ දුප්පත්ද?,ඔව්
ඔබගේ සුරතලා අදිමුද?,අදිමු.
නඩුව කතා කරේ කවුද?,නඩුකාරතුමා.
ඒක කෑවද ඔයා,ඔව් කෑවා
කවුද මාව හෙව්වේ,අක්කා හෙව්වෙ
අයියෙ වතුර බෝතලයක් කීයක් වෙයිද?,60යි
පෙරේදා කවද්ද?,අඟහරුවාදා
ඔයාගෙ වත්තට කුරුල්ලන් එනවද?,ගොඩක් එනව
ඔයාලගේ ප්‍රතිඵල ආවද?,ඔව් අපේ ප්‍රතිඵල ආවා
අම්මට හැම වෙලේම කීකරු වෙන ඕනෙ නේද?,ඔන් ඕනේ
කමක් නැද්ද එහෙම?,කමක් නැහැ.
ගඟේ වැලිගොඩ දාන්න තහනම්,බලපත්‍ර තියනවා
මේක දැන් වහයිද?,නෑ තවම නෑ
ඔයා බස් එකේද ඉන්නේ?,නෑ මම කාර් එකේ එන්නේ 
ලස්සන තැනක් නෙහ්?,ඔව් ලස්සනයිද?
මේ එයාගෙ 30 වෙනි පාලන කාලය නේද,ඒකනම් දන්නැ
ගෙදරට වතුර ගෙනාවද? ,ගේන්න යන්න
කොහෙ ගිහිංද එන්නෙ?,ආච්චිලාගෙ ගෙදර
ඔයාට කෙල්ලෙක් ඉන්නවාද?,ඉස්සර හිටියා
දිනේ කවදද?,අද 12 
ගංගා වල තියෙන්නේ මොනවද ?,වතුර 
ඔයාගේ මුලු ලෝකෙම මමද?,මගේ හැමදේම ඔයා තමයි.
ඔයාගෙ නම මොකක්ද? ,කලණ
මුකුත් දන්නෙම නැද්ද?,දන්නවා.
මම පස්සෙ කතා කරන්නද?,"හා,හවසට කතා කරන්න."
ඔයාගේ අම්මා මොන විදිහේ ගුරුවරියක්ද?,ඒ දක්ශ ගුරුවරියක්
ප්‍රේක්ශකයෝ ඉන්නවාද අද?,ඉන්නවා
නංගි ආවද?,ඔව් ආවා
ඉන්දියාවයි ඇමරිකාවයි එක ලග රටවල් ද?,නැහැ
ඔයාට සපත්තු කුට්ටම් කීයක් තියෙනවද?,මට සපත්තු කුට්ටම් 10 තියෙනවා
පොල් අතු වියන්න දන්නවද?,ඔව් දන්නවා
ඔයාට ලස්සන ඔරලෝසුවක් තිබුනා නේද?,ඔව්
ඔබ ඔබේ පවුලට ආදරය කරන බව පෙන්වන්නේ කෙසේද?, ඔවුන් සමඟ කාලය ගත කිරීමෙන්
ඔයාලා ගොවිතැන් කරනවද,ඔව්
දැන් ක්‍රමවේදයක් තියෙයිද?,තියෙනවා
ඔයා දුක් වෙන්න ඕනි නැද්ද?,නෑ
ඔයා මොකද්ද ජනතාවගෙන් ඉල්ලන්නේ,අරගලය නවත්තන්න
ඔයාගෙ වයස කීයද?,මම දැන් වයසයි
පිහිය කැපෙන් නෑ නේද?,පිහිය කැපෙනවා හොරයි.
ඔබ වැනිලා අයිස්ක්‍රීම් කන්න කැමතිද,නෑ මම චොකලට් වලට කැමතියි
ඔබ කොහෙන්ද?, මම university of ruhuna විසින් නිර්මාණය කරන ලද AI භාෂා ආකෘතියකි.
ඇයි එයාට බැන්නේ?,දන්නේ නෑ
මගේ බිරිද ගොඩක් ඒකට කැමති උනාද?,සතුටුන් කැමති වුනා.
මොනාද කන්නෙ,පාන් කමුද
අද ට්‍රැෆික් වැඩියි නේද,ඔව් පෙරහැරනේ
මොකක්ද ඒ චිත්‍රපටිය?,දන්නෙ නෑ
මෙකෙන් අත හෝදගන්න,හා
ආර්ථික විද්‍යාවේ පියා කවුද?,ඇඩම් ස්මිත්
පොඩි ලමයා නිදිද,නිදි වගේ
මොනවද ඔයා ඒකෙන් ඒ අදහ්ගස් කලේ?,මොකුත් නෑ
මොකද කිවුවේ,මං කිවුවා මං සම්බන්ද නැ කියලා 
amazon Prime යනු කුමක්ද?,සංවිධානයක්
ඔයා කැමතිම රජතුමා කවුද?,මහා පරාක්‍රමබාහු රජු
අන්තිමට කියවපු පොත මොකද්ද?,ඈන් නවකතාව
එයා ශුද්ධාවන්තද?,ඔව්
ඒ ඉන්ාන් අම්මා නේද?,නෑ ඒ වෙන කෙනෙක්
මොනවද පාඩම් කරන්නෙ?,ආර්ථික විද්‍යාව 
සූදානම් උනාද?,නෑ තාම
එයාව ඕනෙද? ,ඔව්  ඕනෙ
     බෝල ගහමුද?     ,දැන් බෑ
හුළග හමන්නේ කොහොමද?,දන්නෙ නෑ
එයා ඔයාට වඩා බාලද?,බාලයි.
ඉපදුනාද?,ඔව් ඉපදිලා
ඇයි රණ්ඩුවෙන්නේ?,"තරහ ගිහින් ඉන්නේ,"
වලේ වැටෙයිද අපි?,නැහැ
වැද්දො කියන්නේ ගෝත්‍රිකයන්ද?,නෑ
 ඔයා මොනවද කන්නෙ, ඔයා මොනවද කන්නෙ
මස් කනවද?,ඔව් කනවා
මුහුද තමයි මම මේ ලෝකෙ ගොඩක්ම ආස තැන,මාත් මුහුදට ගොඩක් ආදරෙයි
තාත්තා එන්නේ කවදාද, තාත්තා හෙට එන්නේේ නැති  වේවි
ඔබ වෛද්‍යවරයාව දැක්කද?,නැහැ මම දැක්කෙ නෑ.
ඉක්මනින් දුක හිතෙන එක දුර්වලකමක් ද? ,නෑ 
ඔබ එය කලමනාකරනය කරන්නෙ කෙසෙද,තාම හිතනවා
එයට අදාල අන්කය ඔබ ගෙනත් තියනවද?,මම ගෙනත් තියනවා.
බාධක ආවද?,ගොඩක් ආවා
ඒක හම්බ උනාද?,ඔව් හම්බුනා 
කීයටද ඔබ එන්නේ?,පහ පහු වේවි
ගොඩක් දේවල් දන්නවා නේද?,දැනගන ඉන්නේ.
කැලේ සත්තු කෑම හොයාගන්නෙ කොහොමද ,ගස් වල කොල ගෙඩි වලින්
ඔයා අද කැම්පස් යනවද,ඔව්
හැමදාම නිදියනවා නේද?,නෑ පුරුද්ද.
දෙවියන්ට ස්තූති වන්ත වෙන්න එපාද?,ඕනි 
කතා කරමුද ටිකක්?,දැන්ම බෑ
අරක අඹ ගහක්ද?,ඔව්
රට ඉදි ලංකාවෙ හැදෙනවද?,නෑ
එක විදියකට ඉන්න බැරිද,මට හරි කම්මැලියි ඉතිම්
මේ දවස්වල ඇපල්නම් හිගයි.,පේර කෑල්ලක් ගේන්න ඒනම්.
ඔයා කප්පං ගන්නවද?,නෑ
ඔයා ගොඩක් මහතයි නේද?,මහතයි.
ඕවා බලන්නත් ඔයාට වෙලාව තියනවද?,ටිකක් තියෙනව ඉතිං 
ඔයා මගෙ ටික් ටොක් බැලුවද,බැලුවා 
පෙනඩෝල් බිව්වද ?,කාලා බොන්නම්
කෝච්චියේ සෙනග ගොඩයිද?,ටිකක් ඉන්නවා 
කවදද ඔබ නුවර යන්නේ?,පෝයට
නාන්න වතුර නැද්ද,තියෙනවා 
ඇත්තටම එයා දක්ශයි නේද?,ඔව් 
අදනම් හරිම සතුටුයි,මට ඊටත් වඩා
සල්ලි ලැබුණද?,තාම නෑ.
රජරට යන්නෙහි අකුරු කීයද?,හතරයි
ජනෙල් වහලද තියෙන්නේ,ඔව් වහලා
සීට්ටුවක් දැම්මද?,ඔව් දැම්මා
ඒ ගන කියමු නේද?,හැමෝටම කියමූ.
රටේ තත්ත්වය ගැන මොකද හිතෙන්නේ?,දැන් නම් ටිකක් සතුටුදායකයි.
ඔයාගේ ගෙදර කෝකද?,අර තියෙන්නෙ මගේ ගෙදර
නංගි මොන වසරෙද?,පහවසරේ
අපේ ඇදුම් මදිමුද?,මදිමු.
පාන්දරම ආවද? ,නෑ දවල් ආවෙ
මේකට මොකද්ද කරන්න ඕන?,මම කියන්නම්.
ඔයා එයාව අදුනනවද?,ඔව් දන්නවා 
මොකක් සම්බන්දවද,ඉංග්‍රිසි කතා කිරිම සම්බන්දව
අලුත් කලිසමක් තියෙනවද?,නෑ එකයි තියෙන්නෙ ඒකත් පරණයි
මොන ව්‍යාපාරයද ඔයා නියෝජනය කරන්නේ,ස්වයං ව්‍යාපාරය
රසයි කිවද?,රසයිලු
ඇයි අනුන් ගැන මිනිස්සු හිතන්නෙ නැත්තේ?,ආත්මාර්ථකාමී නිසා
මොන දිස්ත්‍රික්කයද? ,ත්‍රිකුණාමලය
කිරි පිටි ගනන් නේද? ,කියල වැඩක් නෑ
ඔයාට මේ මුලු ලෝකෙම අයිති කර ගන්න ඕනද?,මට මේ මුලු ලෝකෙම ඕන.
කීයටදඑය ඉවර වෙන්නෙ?,එකට
තව වේලාව තිබේද අපට?,තිබේ
මාව මුණගැහෙන්න එනවද?,මම හෙට එනවා
බුරන බල්ලෝ සපා කන්නේ නැද්ද? ,සමහරවෙලාවට
කව්ද ඔලුවට ගැහුවේ?,මල්ලි
ගස්ලබු තියෙනවද?,ඔව් තියනවා
රියදුරෙක් උනාම සියල්ල දකින්න ඕනෙ. තේරුනාද?,ඔව්
ගිහින් බලනවද?,"හරි,ගිහින් බලලා එන්නම්."
ඔයා ගොඩක් නිර්මාණශීලි නේද?,ඔව් ටිකක් 
ඔයාට එහෙම නින්දා කරනකන් ඔයා බලා ඉන්නවද?,නැ.
ඔබ ඔබේ ගමන් මල්ල තබා ගත්තේ කොහේද? ,බස් රතයේ
මේ කුඩය ඔයාගෙද?,නෑ ඒක අම්මගෙ
ලෝකයේ සාගර fudkjdo,"අත්ලාන්තික්, පැසිෆික්, ඉන්දියානු, ආක්ටික් සහ දකුණු (ඇන්ටාක්ටික්) සාගර."
ඔබට මෙම පඩිපෙළ සියල්ල උඩුගත කළ යුතුද? ,පුළුවන් 
වැවේ කිබුලෙක් ඉන්නවද,ඉන්නවා
අධිවේකී පාරවල් හැදුවට ගම්වල අපි ඕවගෙ කවදා යන්නද නේද?,ඒකනෙ අනේ කියන්නෙ 
මටනම් තේරෙන්නෑ ඇයි ඔයා ඔහොම කලබල වෙන්නෙ?,ඒ මගේ හැටි
අටමස්ථාන වැඳලා තියෙයිද?,ඔව්
දත්ත වර්ග කරනවද?,වගුගත කරනවා.
බැති ගි පටන්ගත්තාද?,තාම නැහැ
පාට පෙට්ටිය නැද්ද ?,නැතිවෙලා
මර්දනය කරනවද?,මර්දනය කරනවා.
කාගෙද මේ කාර් එක?,මගේ
පොලිමේ මුල ද ඉන්නේ,නෑ මැද හරියේ
ප්‍රතිඵල විශ්වාසද?,ඔව්
උපන්දිනේටද,ඔව්
නාන කාමරයේ දොර හැදුවද?,හැදුවා
දැන්ද එන්නේ?,ඔව් ටිකක් පරක්කු වුණා
පාඩම් කරල ඉවරද?,අදට ඉවරයි
අරාබි රටවල් මෙහෙට වඩා වෙනස්ද?,ඔව්
රටේ නීතයට ඔයා ගරු කරනවා නේද?,ඔව් කරනවා
ගෙඩි හැදිලද?,ඔව් හැදිල
ඔයා දවසට පැය කීයක් වැඩ කරනවද?,වැඩ තියෙන විදියට තමා
කොහොමද ජලය ශීත කර ගන්නෙ?,ශීතකරනයෙ තැබීමෙන්
ගම නිස්කලන්කයි,ඔව් හරිම නිදහස්
ඔබ කොරෝනා එන්නත් ලබා ඇත්ද?,ඔව් මම එන්නත් ලබාගෙන ඇත
තව කොච්චර දුරද?,තව ටිකයි
ඔබ උදේ ආහාරය ගන්නේ කීයටද,07g ú;r
සතුටින් ඉන්න බැරිද?,බෑ
තනියම ව්‍යාපාරයක් පටන් අරන් තියෙනවද?,තවම නෑ
අපි ඉන්නෙ කන්ද උඩ නෙද/,ඔව්
උලු ගෙවල් සීතලද?,ඔව්
ඔයා වැඩේ බාරගන්නෙ නැද්ද,නැහැ
අද නිවාඩු දවසක් නෙවෙයි නේද?,නිවාඩු දවසක්.
මොන මල්ද දේන්නෙ,නෙලුම් මල්
කරන්න යන වැඩේ මොකද්ද,වගාවක් කරන්න
අන්තිමට බස් එක ඇල්ලුවද?  ,ඔව් නේ
පෝය දවසට පන්සල් යන්නම ඕනිද? ,නෑ 
ඔයා හෙට විභාගයට මුහුණදෙනවද?,නෑ හෙට ඇදිරිනිතිය පනවා ඇත
මොකද කෑ ගහන්නේ,බාල්දිය ළිඳේ වැටුනා
සිදු කල හානි මොනාද?,ශාක විනාශ කිරීම.
ඇය ගැබිණියක්ද?,ඔව්
ඔයා ලිනක්ස් ගැන දන්නවද,ලිනක්ස් කියන්නේ operating system එකක් 
මා ඔබව පුහුණු කරවන්නද?,ඔබට ස්තූතියි
බැංකු පොත අවලංගුද ?,අවලංගු වෙන්නයි යන්නේ
පාසලේ ගුරුවරු කීයක් ඉන්නවද?,86ක් 
ඔයා අම්මට කතා කලාද?,ඔව් මම කතා කළා 
ඔබ මාව විශ්වාස කරනවාද?,ඔව් මම ගොඩක් විස්වාස කරනවා 
ඔබ අදහන ආගම මෙකක්ද?,මම ක්‍රිස්තියානි ආගමිකයෙක්මි
ඉස්සරද?,ඔව්
නිවාස සංඝණනයක් කලාද,කලා
ඔයා පේන කියනවාද?,නැහැ
ඔයාට යාලුවෝ වටිනවද?,අනිවාර්යයෙන් ම.
කාගෙද මේ දෙරණ?,අපේ
එයාට පිළිකාවක් නේද?,ඔව්
රෙද්දේ මිල කීයද?,රුපියල් පන්සීයක් ඕන.
කව්ද නිතරම ඔයාට බනින්නේ?,අම්මා
කැද බීලද ඉන්නේ,ඇයි එහෙම අහන්නේ
ඔයා ඒ අනතුර ගැන දන්නවද?,දන්නේ නෑ
netflix හි නැරඹිය යුතු දේ?,චිත්රපටි
ඔයාට ස්මාට් පෝන් එකක් තියෙන්වද?,ඔව් ස්මාට් පෝන් එකක් තියෙනවා
ඔයා සදා නොකර මගෙ ලග ඉන්නවා නේද?,ඔව් ඉන්නවා 
ඇතුළට ඇවිල්ල වාඩි වෙන්න,"ඕනෙ නෑ, මෙහෙම ඉන්නම්"
ලංකාවේ මිනිස්සු දුප්පත්ද?,ඇත්තටම නෑ
දේශපාලනය ඇත්තටම නරකද?,නැහැ හොද දේවල් වලටත් යොද ගන්න පුලුවන්
මොනවද ඔයා බලන්නෙ?  ,මුකුත් නෑ
පුස්තකාලයේද?,එහෙ තමයි.
කුරුලෑ වලට විසදුමක් දන්නවද,ඔව් කොහොඹ කොලයි කහයි ගාන්න.
කාවවත් එපා කියලා තේරුණාද,තේරුණා
ඔයාට පුළුවන්ද මට උදව් කරන්න,අනිවාර්යෙන් පුළුවන්
ඔබ කැමතිම ස්වුන්දර්ය විශය මොකක්ද? ,චිත්‍ර 
ඔබ නොදන්න පුද්ගලයන් සමග රන්ඩුවට ගොස් තිබෙනවද? ,නෑ 
ඒ කියන්නෙ අරමනුස්සයද  ඊයෙ ආවෙ?,ඔව්
මේ රැය කාගෙද?,අපේ
