මම මගේ රුධිර පීඩනය අඩු කර ගන්නේ කෙසේද?, ඔබේ රුධිර පීඩනය අඩු කිරීමට සමහර ක්‍රම ඇතුළත් වන්නේ සෞඛ්‍ය සම්පන්න ආහාර වේලක් ගැනීම සහ ඔබේ වෛද්‍යවරයාගේ උපදෙස් පරිදි නියමිත රුධිර පීඩන ඖෂධ ගැනීමයි.
ආතතිය කළමනාකරණය කිරීම සඳහා උපදෙස් කිහිපයක් මොනවාද?, ආතතිය කළමනාකරණය කිරීම සඳහා වන සමහර ඉඟි අතරට ගැඹුරු හුස්ම ගැනීම සහ භාවනා කිරීම වැනි ලිහිල් කිරීමේ ක්‍රම ප්‍රගුණ කිරීම ඇතුළත් වේ.
මා අනුභව කළ යුතු සෞඛ්‍ය සම්පන්න ආහාර මොනවාද?, ඔබේ ආහාර වේලට ඇතුළත් කළ යුතු සමහර සෞඛ්‍ය සම්පන්න ආහාර අතර පලතුරු, එළවළු, සම්පූර්ණ ධාන්‍ය, කෙට්ටු ප්‍රෝටීන සහ ගෙඩි සහ බීජ වැනි සෞඛ්‍ය සම්පන්න මේද ඇතුළත් වේ.
ප්රංශයේ අගනුවර කුමක්ද?, පැරිස්
"To Kill a Mockingbird" හි කතුවරයා කවුද?, Harper Lee
රවුමක වර්ගඵලය ගණනය කිරීමේ සූත්‍රය කුමක්ද?, pi x අරය^2
සෙල්සියස් අංශක 100 ක ජල තාපාංකය කුමක්ද?
මොනාලිසා සිතුවම් කළේ කවුද?, ලියනාඩෝ ඩා වින්චි
අපගේ සෞරග්‍රහ මණ්ඩලයේ විශාලතම ග්‍රහලෝකය කුමක්ද?, බ්‍රහස්පති
මයික්‍රොසොෆ්ට් ආරම්භ කළේ කවුද?, බිල් ගේට්ස් සහ පෝල් ඇලන්
පෘථිවි වායුගෝලයේ බහුලවම ඇති වායුව කුමක්ද?, නයිට්‍රජන්
ලොව විශාලතම ගංගාවේ නම කුමක්ද?, ඇමේසන්
ලොව විශාලතම වැසි වනාන්තරයේ නම කුමක්ද?, ඇමේසන්
සාපේක්ෂතාවාදය සොයාගත්තේ කවුද?, ඇල්බට් අයින්ස්ටයින්
භූමි ප්‍රමාණය අනුව ලෝකයේ විශාලතම රටෙහි නම කුමක්ද?,රුසියාව
ලොව විශාලතම ගල්පර පද්ධතියේ නම කුමක්ද?, මහා බාධක පරය
සිස්ටයින් චැපල් සිවිලිම පින්තාරු කළේ කවුද?, මයිකල්ඇන්ජලෝ
සඳ මත පා තැබූ පළමු මිනිසාගේ නම කුමක්ද?, නීල් ආම්ස්ට්‍රෝං
අපේ සෞරග්‍රහ මණ්ඩලයේ කුඩාම ග්‍රහලෝකයේ නම කුමක්ද?, බුධ
අපේ සෞරග්‍රහ මණ්ඩලයේ විශාලතම ග්‍රහලෝකයේ නම කුමක්ද?, බ්‍රහස්පති
නවවන සංධ්වනිය රචනා කළේ කවුද?, ලුඩ්විග් වැන් බීතෝවන්
ලෝකයේ උසම දිය ඇල්ලේ නම කුමක්ද?,Angel Falls
ලොව විශාලතම ගිනි කන්දේ නම කුමක්ද?,මෞනා ලෝවා
ලෝකයේ ගැඹුරුම සාගරයේ නම කුමක්ද?, පැසිෆික් සාගරය
එක්සත් ජනපදයේ පළමු ජනාධිපති කවුද?, ජෝර්ජ් වොෂින්ටන්
ජපානයේ අගනුවර කුමක්ද?, ටෝකියෝ
64 හි වර්ගමූලය කුමක්ද?, 8
"1984" නවකතාව ලිව්වේ කවුද?, ජෝර්ජ් ඕවල්
රත්රන් සඳහා රසායනික සංකේතය කුමක්ද?, Au
ලෝකයේ උසම කන්ද කුමක්ද?, එවරස්ට් කන්ද
"තරු සහිත රාත්‍රිය" පින්තාරු කළේ කවුද?, වින්සන්ට් වැන් ගෝ
බ්‍රසීලයේ අගනුවර කුමක්ද?, Brasília
භූමි ප්‍රමාණය අනුව ලෝකයේ කුඩාම රට කුමක්ද?, වතිකානුව
මම බල්ලෙක් ලබා ගැනීම ගැන කල්පනා කරමි, මා ලබා ගත යුත්තේ කුමන වර්ගයද?, ඔබට කුමන ආකාරයේ ජීවන රටාවක් තිබේද? සමහර වර්ග අනෙක් ඒවාට වඩා ක්රියාකාරී වේ.
මම නිවාඩුවක් සඳහා යුරෝපයට යාමට කල්පනා කරමි, මා යා යුත්තේ කොතැනටද?, ඔබගේ රුචිකත්වයන් මොනවාද? යුරෝපයේ සෑම කෙනෙකුටම යමක් තිබේ.
ඔබට මගේ පරිගණකයේ දෝශ නිරාකරණය කිරීමට මට උදවු කළ හැකිද?, පෙනෙන ආකාරයට ගැටලුව කුමක්ද? මම ඔබට උදව් කිරීමට මගේ උපරිමය කරන්නෙමි.
ඔබේ ප්‍රියතම චිත්‍රපටය කුමක්ද?, එය දුෂ්කර ප්‍රශ්නයකි, එහි බොහෝ විශිෂ්ට චිත්‍රපට තිබේ. ඔබ උනන්දු වන්නේ කුමන ප්‍රභේදයටද?
නව භාෂාවක් ඉගෙන ගැනීමට හොඳම ක්‍රමය කුමක්ද?, එය ඇත්ත වශයෙන්ම ඔබගේ ඉගෙනුම් විලාසය මත රඳා පවතී. සමහර අය පන්තිවලට කැමැත්තක් දක්වන අතර තවත් අය භාෂාව තුළ ගිලී සිටීමට කැමතියි.
මම ව්‍යාපාරයක් ආරම්භ කිරීමට උනන්දු වෙමි, ඔබට ඇති උපදෙස් මොනවාද?, වෙළඳපල පර්යේෂණ, මූල්‍යකරණය සහ ව්‍යාපාර සැලසුම් කිරීම වැනි ව්‍යාපාරයක් ආරම්භ කිරීමේදී සලකා බැලිය යුතු බොහෝ සාධක තිබේ.
ඔබට කියවීමට හොඳ පොතක් නිර්දේශ කළ හැකිද?, ඔබ කැමති කුමන ප්‍රභේදයටද? ඔබේ රුචිකත්වයන් මත පදනම්ව මට ඔබට නිර්දේශ කිහිපයක් ලබා දිය හැකිය.
ඔබේ ප්‍රියතම ආහාර වර්ග මොනවාද?, මම ඇත්තටම ඉතාලි කෑම රසවිඳිනවා, නමුත් මම තායි සහ ඉන්දියානු ආහාර වලටත් කැමතියි. ඔයාට කොහොම ද?
මම මගේ ප්‍රසිද්ධ කථන කුසලතා වැඩි දියුණු කරන්නේ කෙසේද?, පුහුණුවීම ප්‍රධාන වේ, නමුත් ඔබේ විශ්වාසය සහ බෙදා හැරීම වැඩි දියුණු කිරීමට ඔබට භාවිතා කළ හැකි බොහෝ ශිල්පීය ක්‍රම තිබේ.
හැඩය පවත්වා ගැනීමට හොඳම ක්‍රමය කුමක්ද?, නිතිපතා ව්‍යායාම කිරීම සහ සෞඛ්‍ය සම්පන්න ආහාර වේලක් අත්‍යවශ්‍ය වේ, නමුත් ඔබ ප්‍රිය කරන සහ ඔබේ ජීවන රටාවට ගැලපෙන ක්‍රියාකාරකම් සොයා ගැනීම ද වැදගත් වේ.
හායි, ඔබට ආහාරයට ගත හැකි සෞඛ්‍ය සම්පන්න ආහාර කිහිපයක් ගැන මට කියන්න පුළුවන්ද?, ඇත්තෙන්ම! ආහාරයට ගත යුතු සමහර සෞඛ්‍ය සම්පන්න ආහාර අතර පලතුරු, එළවළු, සම්පූර්ණ ධාන්‍ය, කෙට්ටු ප්‍රෝටීන සහ අඩු මේද සහිත කිරි නිෂ්පාදන ඇතුළත් වේ.
මට මෑතකදි ටිකක් අඩුවක් දැනෙනවා, මගේ මනෝභාවය වැඩි කර ගැනීමට මට කුමක් කළ හැකිද?, ව්‍යායාම යනු ඔබේ මනෝභාවය ඉහළ නැංවීමට හොඳ ක්‍රමයකි, කුඩා ශාරීරික ක්‍රියාකාරකම් පවා උපකාරී වේ. සොබාදහමේ පිටත කාලය ගත කිරීම සහ ප්‍රමාණවත් නින්දක් ලබා ගැනීම ද ප්‍රයෝජනවත් විය හැකිය.
මට නිදාගැනීමේ ගැටලුවක් තිබේ, මට වඩා හොඳින් නිදා ගැනීමට උපකාර කිරීමට මා කුමක් කළ යුතුද?, විවේකී නින්දට යන දින චර්යාවක් නිර්මාණය කිරීමෙන් පොතක් කියවීම හෝ උණුසුම් ස්නානය කිරීම වැනි ඔබට වඩා හොඳින් නිදා ගැනීමට හැකි වේ. 
ජලය පානය කිරීමේ සමහර ප්‍රයෝජන මොනවාද?, ප්‍රමාණවත් තරම් ජලය පානය කිරීමෙන් ඔබේ මනෝභාවය සහ ශක්ති මට්ටම් වැඩි දියුණු කිරීමට, ආහාර දිරවීමට සහ බර අඩු කර ගැනීමට සහ ඔබේ ශරීරයෙන් විෂ ඉවත් කිරීමට උපකාරී වේ.
මම දුම්පානය නතර කිරීමට උත්සාහ කරමි, ඔබට ඉඟි තිබේද?, ඔබට දුම්පානය නැවැත්වීමට උපකාර කළ හැකි බොහෝ උපාය මාර්ග ඇත.
